nombre,temporada,club,entrenador,edad,posicion_normalizada,tipo_suceso,tipo_operacion,origen_desarrollo,partidos,minutos,goles,xg,goles_por_90,xg_por_90,valor_mercado,valor_llegada,valor_salida,revalorizacion_absoluta,revalorizacion_porcentual,revalorizacion_positiva,tiene_wyscout,club_pos_jugadores_sub23,club_pos_minutos_sub23,club_pos_goles_sub23,club_pos_xg_sub23,club_pos_pct_minutos,club_total_jugadores_sub23,club_total_minutos_sub23,club_total_goles_sub23,coach_total_jugadores_sub23,coach_total_minutos_sub23,coach_pos_minutos_sub23,demand_total_altas,demand_cesiones,demand_traspasos,demand_sub23,demand_recent,demand_score
Lucho Vega,2021-22,AD Alcorcón,Fran Fernández,22.0,Centrocampista,cesion,cesion,Extranjero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100000.0,,,0,False,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,10,1,0,4,0,47.11
Luis Valcarce,2021-22,AD Alcorcón,Fran Fernández,28.0,Lateral,libre,libre,Extranjero,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,,,,,0,False,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,4,1,0,0,0,21.75
Nicolas Gorosito,2021-22,AD Alcorcón,Fran Fernández,32.0,Central,libre,libre,Segunda Division,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,,,,,0,False,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,6,1,0,3,0,35.36
Raúl Asencio,2021-22,AD Alcorcón,Fran Fernández,23.0,Delantero,libre,libre,Sin club anterior,0.0,0.0,0.0,0.0,0.0,0.0,550000.0,550000.0,300000.0,-250000.0,-45.45,0,False,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,9,3,0,5,0,52.22
Roberto Olabe,2021-22,AD Alcorcón,Fran Fernández,25.0,Centrocampista,libre,libre,Segunda Division,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,,,,,0,False,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,10,1,0,4,0,47.11
Álex Barbu,2021-22,AD Alcorcón,Fran Fernández,20.0,Central,otro,otro,Cantera / Filial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,False,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,6,1,0,3,0,35.36
Álex Mula,2021-22,AD Alcorcón,Fran Fernández,25.0,Extremo,cesion,cesion,Segunda Division,0.0,0.0,0.0,0.0,0.0,0.0,700000.0,,,,,0,False,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,3,1,0,0,0,19.14
Óscar Rivas,2021-22,AD Alcorcón,Fran Fernández,21.0,Central,otro,otro,Cantera / Filial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,False,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,6,1,0,3,0,35.36
Alfonso Herrero,2021-22,Burgos CF,Julián Calero,27.0,Portero,libre,libre,Otra categoria España,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,250000.0,500000.0,250000.0,100.0,1,False,0.0,0.0,0.0,0.0,0.0,10.0,18932.0,28.0,9.0,19860.0,6015.0,8,1,0,0,3,42.36
Andy Rodríguez,2021-22,Burgos CF,Julián Calero,31.0,Centrocampista,libre,libre,Otra categoria España,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,300000.0,200000.0,-100000.0,-33.33,0,False,0.0,0.0,0.0,0.0,0.0,10.0,18932.0,28.0,9.0,19860.0,3552.0,12,2,0,7,6,80.57
