jugador,temporada,club,entrenador,edad,posicion,tipo_operacion,tipo_suceso,minutos,goles,xg,valor_mercado,revalorizacion_porcentual,revalorizacion_absoluta,comp_desarrollo,comp_mercado,comp_rendimiento,comp_progresion,dimensiones_usadas,operation_success_score
Chris Ramos,2021-22,CD Lugo,Rubén de la Barrera,24.0,Delantero,libre,libre,0.0,0.0,0.0,200000.0,400.0,800000.0,,1.0,,1.0,mercado+progresion,100.0
David Mayoral,2021-22,CD Lugo,Rubén de la Barrera,24.0,Extremo,cesion,cesion,0.0,0.0,0.0,400000.0,-75.0,-300000.0,,0.0,,0.0,mercado+progresion,0.0
Joselu Moreno,2021-22,CD Lugo,Rubén de la Barrera,30.0,Delantero,cesion,cesion,0.0,0.0,0.0,200000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Juan Antonio Ros,2021-22,CD Lugo,Rubén de la Barrera,25.0,Central,libre,libre,0.0,0.0,0.0,200000.0,50.0,100000.0,,0.5,,0.7,mercado+progresion,57.5
Pol García,2021-22,CD Lugo,Rubén de la Barrera,27.0,Central,otro,otro,0.0,0.0,0.0,800000.0,-50.0,-400000.0,,0.0,,0.0,mercado+progresion,0.0
Ricard Sánchez,2021-22,CD Lugo,Rubén de la Barrera,21.0,Lateral,cesion,cesion,0.0,0.0,0.0,1500000.0,-60.0,-900000.0,,0.0,,0.0,mercado+progresion,0.0
Alejandro Marqués,2021-22,CD Mirandés,Alessio Lisci,21.0,Delantero,cesion,cesion,0.0,0.0,0.0,500000.0,60.0,300000.0,,0.55,,0.73,mercado+progresion,61.75
Anderson Arroyo,2021-22,CD Mirandés,Alessio Lisci,21.0,Lateral,cesion,cesion,0.0,0.0,0.0,150000.0,433.33,650000.0,,1.0,,1.0,mercado+progresion,100.0
César Gelabert,2021-22,CD Mirandés,Alessio Lisci,20.0,Mediapunta,libre,libre,0.0,0.0,0.0,700000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Haissem Hassan,2021-22,CD Mirandés,Alessio Lisci,19.0,Extremo,cesion,cesion,0.0,0.0,0.0,2000000.0,-25.0,-500000.0,,0.125,,0.0,mercado+progresion,7.81
Iago López,2021-22,CD Mirandés,Alessio Lisci,22.0,Lateral,libre,libre,0.0,0.0,0.0,700000.0,-28.57,-200000.0,,0.10715,,0.0,mercado+progresion,6.7
Imanol García De Albéniz,2021-22,CD Mirandés,Alessio Lisci,21.0,Lateral,cesion,cesion,0.0,0.0,0.0,150000.0,566.67,850000.0,,1.0,,1.0,mercado+progresion,100.0
Iñigo Vicente,2021-22,CD Mirandés,Alessio Lisci,23.0,Extremo,cesion,cesion,0.0,0.0,0.0,1000000.0,50.0,500000.0,,0.5,,0.7,mercado+progresion,57.5
Jon Ander Garrido,2021-22,CD Mirandés,Alessio Lisci,32.0,Centrocampista,cesion,cesion,0.0,0.0,0.0,400000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Jorge Aguirre,2021-22,CD Mirandés,Alessio Lisci,22.0,Delantero,cesion,cesion,0.0,0.0,0.0,500000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Jorge Sáenz,2021-22,CD Mirandés,Alessio Lisci,25.0,Central,cesion,cesion,0.0,0.0,0.0,700000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Martín Calderón,2021-22,CD Mirandés,Alessio Lisci,22.0,Centrocampista,cesion,cesion,0.0,0.0,0.0,500000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Niko Datkovic,2021-22,CD Mirandés,Alessio Lisci,28.0,Central,libre,libre,0.0,0.0,0.0,500000.0,-20.0,-100000.0,,0.15,,0.0,mercado+progresion,9.38
Odei Onaindia,2021-22,CD Mirandés,Alessio Lisci,31.0,Central,libre,libre,0.0,0.0,0.0,275000.0,9.09,25000.0,,0.29545,,0.7,mercado+progresion,44.72
