club,posicion,jugadores_sub23,minutos_sub23,partidos_sub23,titularidades_sub23,goles_sub23,xg_sub23,valor_medio,revalorizacion_media,entrenador_principal,temporadas_analizadas,pct_minutos_sub23_club
UD Las Palmas,Extremo,2,3132.0,49.0,,11.0,7.12,575000.0,,,1,30.68
Real Sociedad B,Extremo,1,2809.0,41.0,,6.0,4.86,150000.0,,,1,15.22
Real Oviedo,Extremo,1,2721.0,40.0,,1.0,3.62,2000000.0,,Luis Carrión,1,49.81
RCD Espanyol Barcelona,Extremo,1,2340.0,39.0,,3.0,3.4,1800000.0,,Luis García Plaza,1,20.86
Real Zaragoza,Extremo,3,2223.0,45.0,,1.0,5.74,200000.0,,,1,19.96
SD Huesca,Extremo,3,2152.0,45.0,,2.0,2.84,300000.0,,Antonio Hidalgo,3,19.27
Granada CF,Extremo,1,1892.0,37.0,,5.0,2.35,150000.0,350000.0,Fran Escribá,1,6.95
Cultural Leonesa,Extremo,3,1706.0,40.0,,4.0,2.13,250000.0,,,3,8.39
Córdoba CF,Extremo,1,1549.0,38.0,,1.0,2.79,,,,1,9.85
Albacete Balompié,Extremo,1,1165.0,22.0,,0.0,2.19,400000.0,,,1,7.78
CD Tenerife,Extremo,3,1114.0,35.0,,1.0,1.84,,,Luis Miguel Ramis,3,52.52
Deportivo Alavés,Extremo,2,822.0,17.0,,1.0,0.67,2500000.0,,,2,11.82
CD Castellón,Extremo,2,254.0,10.0,,0.0,0.25,200000.0,,,1,3.89
FC Cartagena,Extremo,1,142.0,7.0,,1.0,0.21,,,,2,28.57
Racing Santander,Extremo,1,42.0,2.0,,0.0,0.2,,,,1,0.13
SD Ponferradina,Extremo,2,27.0,2.0,,0.0,0.02,,,,2,58.7
Albacete Balompié,Lateral,4,8898.0,127.0,,3.0,5.15,925000.0,,Rubén Albés,4,59.42
Racing Santander,Lateral,2,8891.0,110.0,,4.0,5.95,500000.0,,Íñigo Vélez,4,27.55
Girona FC,Lateral,2,7835.0,83.0,,5.0,6.14,5125000.0,,Michel,2,38.78
Cádiz CF,Lateral,5,5952.0,80.0,,4.0,1.08,212500.0,,Pako Ayestarán,2,19.17
Sporting Gijón,Lateral,3,5830.0,81.0,,1.0,1.58,600000.0,0.0,David Gallego,5,19.73
Granada CF,Lateral,3,5806.0,85.0,,3.0,1.65,233333.33,,Aitor Karanka,2,21.34
RCD Espanyol Barcelona,Lateral,3,5656.0,71.0,,0.0,0.99,966666.67,0.0,Luis García Plaza,1,50.41
CD Mirandés,Lateral,3,5648.0,86.0,,0.0,3.18,1375000.0,,,1,17.15
SD Eibar,Lateral,2,4659.0,72.0,,0.0,0.92,600000.0,,Gaizka Garitano,3,33.6
Real Zaragoza,Lateral,5,4384.0,63.0,,0.0,1.27,883333.33,250000.0,Víctor Fernández,3,39.35
Real Sociedad B,Lateral,2,4178.0,55.0,,0.0,0.98,200000.0,,,1,22.64
UD Almería,Lateral,1,4065.0,66.0,,2.0,1.3,500000.0,,Rubén Albés,4,29.79
Burgos CF,Lateral,2,3702.0,45.0,,1.0,1.27,350000.0,,,1,19.55
CD Castellón,Lateral,3,3397.0,52.0,,1.0,3.42,50000.0,,,1,52.03
Cultural Leonesa,Lateral,1,3249.0,37.0,,1.0,0.77,50000.0,,,1,15.98
Real Valladolid CF,Lateral,3,2854.0,44.0,,0.0,0.82,400000.0,,Diego Cocca,2,12.93
CD Leganés,Lateral,2,2708.0,40.0,,2.0,1.69,262500.0,75000.0,Borja Jiménez,3,10.84
Córdoba CF,Lateral,4,2257.0,46.0,,4.0,3.27,350000.0,,Iván Ania,2,14.35
UD Las Palmas,Lateral,2,1718.0,38.0,,1.0,0.47,1200000.0,,García Pimienta,1,16.83
