jugador,posicion,edad,minutos_actuales,goles_actuales,xg_actual,operacion_sugerida,confianza_modelo,revalorizacion_esperada_media_top5,prob_revalorizacion_positiva_media_top5,prob_cesion_historica,prob_traspaso_historico,score_destino_medio_top5,clubes_ideales,entrenadores_ideales,sucesos_similares,razonamiento
Ismael Barea,Mediocentro,20,395.0,0.0,0.09,Renovar y ceder,Baja,145900.71,0.3898,0.2417,0.1301,37.97,CD Mirandés (46.8) | Racing Santander (40.4) | Sporting Gijón (35.8) | SD Eibar (33.8) | UD Almería (33.1),Míchel Alonso | Íñigo Vélez | Rubén Albés | Gaizka Garitano,S. Eriksson Racing Santander sub23_wyscout | J. Dómina Cádiz CF sub23_wyscout | H. San Modesto Real Valladolid CF sub23_wyscout | L. Terrer Casas Real Zaragoza sub23_wyscout | D. Sia CD Mirandés sub23_wyscout,"Renovar y ceder: top destinos con score medio 38.0; revalorizacion esperada media €146k; probabilidad de revalorizacion positiva 39%; similitud historica cesion 24%, traspaso 13%."
Carlos Reina,Delantero,21,1653.0,6.0,5.51,Ceder,Media,680351.35,0.4627,0.3041,0.3408,55.36,CD Mirandés (69.9) | Racing Santander (59.8) | Real Valladolid CF (50.8) | Málaga CF (50.8) | Burgos CF (45.6),Míchel Alonso | Diego Cocca | Julián Calero,B. Nsongo Tonfack Deportivo Alavés sub23_wyscout | Rafa Rodríguez Málaga CF sub23_wyscout | Joel Roca Girona FC sub23_wyscout | M. Kim FC Andorra sub23_wyscout | Jorge Pascual Granada CF sub23_wyscout,"Ceder: top destinos con score medio 55.4; revalorizacion esperada media €680k; probabilidad de revalorizacion positiva 46%; similitud historica cesion 30%, traspaso 34%."
M. Kamara Rodriguez,Extremo,22,71.0,1.0,0.25,Renovar y ceder,Alta,687910.83,0.5764,0.3319,0.186,63.47,CD Mirandés (70.4) | UD Las Palmas (66.8) | Sporting Gijón (63.0) | Real Valladolid CF (59.1) | Cádiz CF (58.0),Míchel Alonso | David Gallego | Diego Cocca | Pako Ayestarán,Sergio Gabriel CD Mirandés sub23_wyscout | Mario Cantero Burgos CF libre | E. Eyong Levante UD sub23_wyscout | W. Chatiliez FC Cartagena sub23_wyscout | Álex Calvo FC Andorra sub23_wyscout,"Renovar y ceder: top destinos con score medio 63.5; revalorizacion esperada media €688k; probabilidad de revalorizacion positiva 58%; similitud historica cesion 33%, traspaso 19%."
Yanis Senhadji,Delantero,21,194.0,0.0,0.55,Ceder,Media,588474.64,0.4625,0.3434,0.1674,53.12,CD Mirandés (70.0) | Racing Santander (58.0) | Málaga CF (47.8) | Real Valladolid CF (47.7) | Burgos CF (42.1),Míchel Alonso | Diego Cocca | Julián Calero,Ayman Arguigue Villarreal CF B sub23_wyscout | S. De La Torre Racing Santander sub23_wyscout | Siren Diao CD Mirandés sub23_wyscout | J. Recoba UD Las Palmas sub23_wyscout | Julen Martínez CD Mirandés sub23_wyscout,"Ceder: top destinos con score medio 53.1; revalorizacion esperada media €588k; probabilidad de revalorizacion positiva 46%; similitud historica cesion 34%, traspaso 17%."
Ginés Sorroche,Centrocampista,22,1124.0,1.0,0.74,Ceder,Media,148209.94,0.5781,0.2916,0.2327,55.22,CD Mirandés (73.2) | Racing Santander (60.4) | Sporting Gijón (49.5) | Córdoba CF (47.3) | UD Almería (45.7),Míchel Alonso | Íñigo Vélez | Rubén Albés | Iván Ania,Javi Hernández CD Mirandés sub23_wyscout | M. Diakité Cádiz CF sub23_wyscout | M. Mensah Real Zaragoza sub23_wyscout | M. Diakité Cádiz CF sub23_wyscout | Marcelo Expósito Burgos CF sub23_wyscout,"Ceder: top destinos con score medio 55.2; revalorizacion esperada media €148k; probabilidad de revalorizacion positiva 58%; similitud historica cesion 29%, traspaso 23%."
Jorge Luis,Delantero,20,739.0,0.0,0.97,Renovar y ceder,Media,631908.23,0.3854,0.361,0.182,53.59,CD Mirandés (69.9) | Racing Santander (58.5) | Real Valladolid CF (48.5) | Málaga CF (48.3) | CD Leganés (42.8),Míchel Alonso | Diego Cocca | Borja Jiménez,J. Dómina Cádiz CF sub23_wyscout | K. Sánchez FC Cartagena sub23_wyscout | Baba Diocou Granada CF cesion | Pau Sans Real Zaragoza sub23_wyscout | Chupe Málaga CF sub23_wyscout,"Renovar y ceder: top destinos con score medio 53.6; revalorizacion esperada media €632k; probabilidad de revalorizacion positiva 39%; similitud historica cesion 36%, traspaso 18%."
F. Embalo Muñoz,Central,20,824.0,0.0,0.54,Ceder,Media,235692.23,0.5571,0.2887,0.1538,55.87,CD Mirandés (67.4) | CD Leganés (57.7) | Racing Santander (54.9) | Real Valladolid CF (52.2) | Cultural Leonesa (47.1),Míchel Alonso | Borja Jiménez | Diego Cocca,Marc Bombardó FC Andorra sub23_wyscout | Y. Saidu Real Zaragoza sub23_wyscout | Jorge Cabello CD Mirandés sub23_wyscout | Matia Barzic Cultural Leonesa sub23_wyscout | B. Kovačević Cádiz CF sub23_wyscout,"Ceder: top destinos con score medio 55.9; revalorizacion esperada media €236k; probabilidad de revalorizacion positiva 56%; similitud historica cesion 29%, traspaso 15%."
K. Sosu,RAMF,20,,,,Mantener / evaluar,Baja,,,,,,,,,No hay destinos historicos suficientes para su posicion normalizada.
G. Bouare Samake,Mediocentro,21,2783.0,2.0,1.54,Ceder,Baja,192435.78,0.3909,0.2656,0.2216,39.03,CD Mirandés (47.4) | Racing Santander (41.2) | Sporting Gijón (37.3) | UD Almería (34.7) | SD Eibar (34.5),Míchel Alonso | Íñigo Vélez | Rubén Albés | Gaizka Garitano,Antal Yaakobishvili FC Andorra cesion | S. Džodić UD Almería sub23_wyscout | L. Noubi Deportivo de La Coruña sub23_wyscout | José De La Rosa Cádiz CF sub23_wyscout | B. Kovačević Cádiz CF sub23_wyscout,"Ceder: top destinos con score medio 39.0; revalorizacion esperada media €192k; probabilidad de revalorizacion positiva 39%; similitud historica cesion 27%, traspaso 22%."
José Morante,Extremo,18,2248.0,6.0,4.49,Ceder,Alta,1137322.42,0.5152,0.3177,0.3121,73.8,Sporting Gijón (78.4) | CD Mirandés (75.3) | Cádiz CF (74.2) | FC Andorra (71.6) | Real Valladolid CF (69.5),David Gallego | Míchel Alonso | Pako Ayestarán | Ferran Costa | Diego Cocca,Antonio Cordero Cádiz CF sub23_wyscout | David Mella Deportivo de La Coruña sub23_wyscout | Lander Astiazaran Real Sociedad B sub23_wyscout | Aarón Ochoa Málaga CF sub23_wyscout | Antoñito Cordero Cádiz CF cesion,"Ceder: top destinos con score medio 73.8; revalorizacion esperada media €1.1M; probabilidad de revalorizacion positiva 52%; similitud historica cesion 32%, traspaso 31%."
