jugador,posicion,edad,minutos_actuales,goles_actuales,xg_actual,operacion_sugerida,confianza_modelo,revalorizacion_esperada_media_top5,prob_revalorizacion_positiva_media_top5,prob_cesion_historica,prob_traspaso_historico,score_destino_medio_top5,clubes_ideales,entrenadores_ideales,sucesos_similares,razonamiento
Ian Forns,Lateral,22,2379.0,0.0,1.05,Ceder,Media,234612.43,0.6154,0.2845,0.1641,55.88,Albacete Balompié (64.1) | CD Mirandés (59.8) | Real Zaragoza (54.2) | Racing Santander (51.1) | Granada CF (50.1),Rubén Albés | Víctor Fernández | Íñigo Vélez | Aitor Karanka,Mario García Racing Santander sub23_wyscout | Marcos Luna UD Almería sub23_wyscout | Mario García Racing Santander sub23_wyscout | César Álvarez CD Tenerife sub23_wyscout | Hugo Novoa CD Mirandés cesion,"Ceder: top destinos con score medio 55.9; revalorizacion esperada media €235k; probabilidad de revalorizacion positiva 62%; similitud historica cesion 28%, traspaso 16%."
Borja Alonso,Extremo,22,2608.0,7.0,5.78,Vender con recompra,Alta,716010.36,0.5711,0.2988,0.3003,63.86,CD Mirandés (70.2) | UD Las Palmas (66.7) | Sporting Gijón (64.1) | Real Valladolid CF (59.3) | Cádiz CF (59.0),Míchel Alonso | David Gallego | Diego Cocca | Pako Ayestarán,Alberto Moleiro Villarreal CF B sub23_wyscout | Jastin García Lopez FC Andorra sub23_wyscout | Alberto Moleiro Villarreal CF B sub23_wyscout | Javi Hernández CD Mirandés cesion | David Mella Deportivo de La Coruña sub23_wyscout,"Vender con recompra: top destinos con score medio 63.9; revalorizacion esperada media €716k; probabilidad de revalorizacion positiva 57%; similitud historica cesion 30%, traspaso 30%."
Ruben De Sa Abreu,Lateral,18,355.0,0.0,0.02,Ceder,Alta,741698.91,0.5858,0.2712,0.1546,68.07,Albacete Balompié (76.3) | CD Mirandés (72.0) | Real Zaragoza (67.1) | Racing Santander (63.4) | Cádiz CF (61.6),Rubén Albés | Víctor Fernández | Íñigo Vélez | Pako Ayestarán,Dani Bernabéu Albacete Balompié sub23_wyscout | Buba Sangaré Elche CF sub23_wyscout | Toni Tamarit CD Mirandés cesion | H. San Modesto Real Valladolid CF sub23_wyscout | J. Díaz Peregrina Cádiz CF sub23_wyscout,"Ceder: top destinos con score medio 68.1; revalorizacion esperada media €742k; probabilidad de revalorizacion positiva 59%; similitud historica cesion 27%, traspaso 15%."
R. Oya Mesa,Extremo,18,105.0,0.0,0.01,Ceder,Alta,1107406.85,0.5227,0.3457,0.1375,73.71,Sporting Gijón (78.4) | CD Mirandés (75.5) | Cádiz CF (73.2) | FC Andorra (71.5) | Real Valladolid CF (69.9),David Gallego | Míchel Alonso | Pako Ayestarán | Ferran Costa | Diego Cocca,Paco Cortés Cultural Leonesa sub23_wyscout | Dani Fernández CD Tenerife sub23_wyscout | N. Carrillo Deportivo Alavés sub23_wyscout | Álex Lozano Sporting Gijón sub23_wyscout | W. Chatiliez FC Cartagena sub23_wyscout,"Ceder: top destinos con score medio 73.7; revalorizacion esperada media €1.1M; probabilidad de revalorizacion positiva 52%; similitud historica cesion 35%, traspaso 14%."
C. De Roa García,Lateral,18,117.0,0.0,0.0,Ceder,Alta,739311.93,0.591,0.2646,0.1384,68.12,Albacete Balompié (76.3) | CD Mirandés (72.1) | Real Zaragoza (67.1) | Racing Santander (63.5) | Cádiz CF (61.6),Rubén Albés | Víctor Fernández | Íñigo Vélez | Pako Ayestarán,Buba Sangaré Elche CF sub23_wyscout | Dani Bernabéu Albacete Balompié sub23_wyscout | Álex López Córdoba CF sub23_wyscout | M. Timorán Paz Córdoba CF sub23_wyscout | J. Domingo Ponce Albacete Balompié sub23_wyscout,"Ceder: top destinos con score medio 68.1; revalorizacion esperada media €739k; probabilidad de revalorizacion positiva 59%; similitud historica cesion 26%, traspaso 14%."
Mario Navarro,Lateral,17,27.0,0.0,0.0,Ceder,Alta,738775.85,0.5906,0.2557,0.1246,68.1,Albacete Balompié (76.3) | CD Mirandés (72.1) | Real Zaragoza (67.1) | Racing Santander (63.5) | Cádiz CF (61.5),Rubén Albés | Víctor Fernández | Íñigo Vélez | Pako Ayestarán,Carlos Jimenez Levante UD sub23_wyscout | J. Domingo Ponce Albacete Balompié sub23_wyscout | M. Timorán Paz Córdoba CF sub23_wyscout | Buba Sangaré Elche CF sub23_wyscout | Iván Garriel Real Valladolid CF sub23_wyscout,"Ceder: top destinos con score medio 68.1; revalorizacion esperada media €739k; probabilidad de revalorizacion positiva 59%; similitud historica cesion 26%, traspaso 12%."
Antonio González,Extremo,18,99.0,0.0,0.0,Ceder,Alta,1107406.85,0.525,0.3432,0.1363,73.76,Sporting Gijón (78.5) | CD Mirandés (75.5) | Cádiz CF (73.2) | FC Andorra (71.6) | Real Valladolid CF (70.0),David Gallego | Míchel Alonso | Pako Ayestarán | Ferran Costa | Diego Cocca,Paco Cortés Cultural Leonesa sub23_wyscout | Dani Fernández CD Tenerife sub23_wyscout | N. Carrillo Deportivo Alavés sub23_wyscout | Álex Lozano Sporting Gijón sub23_wyscout | W. Chatiliez FC Cartagena sub23_wyscout,"Ceder: top destinos con score medio 73.8; revalorizacion esperada media €1.1M; probabilidad de revalorizacion positiva 53%; similitud historica cesion 34%, traspaso 14%."
Emmanuel,Central,19,951.0,1.0,0.3,Ceder,Media,322463.11,0.5568,0.2888,0.1605,57.86,CD Mirandés (68.6) | CD Leganés (59.6) | Racing Santander (57.2) | Real Valladolid CF (54.7) | Cultural Leonesa (49.2),Míchel Alonso | Borja Jiménez | Diego Cocca,Pau Navarro Villarreal CF B sub23_wyscout | Unax Ayo Real Sociedad B sub23_wyscout | A. Furtado Real Zaragoza sub23_wyscout | Marc Bombardó FC Andorra sub23_wyscout | Iker Córdoba CD Mirandés cesion,"Ceder: top destinos con score medio 57.9; revalorizacion esperada media €322k; probabilidad de revalorizacion positiva 56%; similitud historica cesion 29%, traspaso 16%."
M. Romero,Mediocentro,18,40.0,0.0,0.09,Renovar y ceder,Media,756236.59,0.3875,0.2275,0.104,51.91,CD Mirandés (59.6) | Racing Santander (55.0) | Sporting Gijón (49.7) | UD Almería (48.2) | SD Eibar (47.1),Míchel Alonso | Íñigo Vélez | Rubén Albés | Gaizka Garitano,Paco Cortés Cultural Leonesa sub23_wyscout | F. Garcia Moreno Albacete Balompié sub23_wyscout | N. Riestra Sporting Gijón sub23_wyscout | Dani Fernández CD Tenerife sub23_wyscout | M. Timorán Paz Córdoba CF sub23_wyscout,"Renovar y ceder: top destinos con score medio 51.9; revalorizacion esperada media €756k; probabilidad de revalorizacion positiva 39%; similitud historica cesion 23%, traspaso 10%."
R. Gomez,Centrocampista,19,159.0,0.0,0.02,Ceder,Media,185445.16,0.5683,0.3063,0.1783,55.8,CD Mirandés (74.9) | Racing Santander (61.6) | Sporting Gijón (49.4) | Córdoba CF (47.6) | UD Almería (45.5),Míchel Alonso | Íñigo Vélez | Rubén Albés | Iván Ania,M. Jiménez Gambín Granada CF sub23_wyscout | I. Alani Real Valladolid CF sub23_wyscout | S. Martínez Racing Santander sub23_wyscout | L. Terrer Casas Real Zaragoza sub23_wyscout | A. Martin Luis CD Mirandés sub23_wyscout,"Ceder: top destinos con score medio 55.8; revalorizacion esperada media €185k; probabilidad de revalorizacion positiva 57%; similitud historica cesion 31%, traspaso 18%."
Iván Corralejo,Centrocampista,19,1345.0,2.0,1.87,Ceder,Media,249645.22,0.5488,0.3172,0.2171,55.88,CD Mirandés (74.8) | Racing Santander (61.6) | Sporting Gijón (49.7) | Córdoba CF (47.7) | FC Andorra (45.6),Míchel Alonso | Íñigo Vélez | Rubén Albés | Iván Ania | Ferran Costa,A. Martin Luis CD Mirandés sub23_wyscout | Manu Rodríguez Sporting Gijón sub23_wyscout | E. Akman FC Andorra sub23_wyscout | A. Martin Luis CD Mirandés sub23_wyscout | S. Martínez Racing Santander sub23_wyscout,"Ceder: top destinos con score medio 55.9; revalorizacion esperada media €250k; probabilidad de revalorizacion positiva 55%; similitud historica cesion 32%, traspaso 22%."
