jugador,edad,valor_mercado,partidos,minutos,goles,xg,goles_por_90,xg_por_90,posicion_normalizada,tipo_operacion,origen_desarrollo,club,entrenador,ranking_destino_base,score_evidencia_base,nivel_evidencia,razones_base,minutos_sub23_destino,jugadores_sub23_destino,goles_sub23_destino,xg_sub23_destino,vencimiento_contrato,equipo_actual,club_pos_jugadores_sub23,club_pos_minutos_sub23,club_pos_goles_sub23,club_pos_xg_sub23,club_pos_pct_minutos,club_total_jugadores_sub23,club_total_minutos_sub23,club_total_goles_sub23,coach_total_jugadores_sub23,coach_total_minutos_sub23,minutos_sub23_delanteros,minutos_sub23_extremos,minutos_sub23_mediocentros,minutos_sub23_centrales,minutos_sub23_laterales,minutos_sub23_porteros,coach_pos_minutos_sub23,demand_total_altas,demand_cesiones,demand_traspasos,demand_sub23,demand_recent,demand_score,rf_revalorizacion_esperada,rf_prob_revalorizacion_positiva,prob_tipo_cesion,prob_tipo_libre,prob_tipo_otro,prob_tipo_traspaso,tipo_operacion_mas_parecida,rf_revalorizacion_score,score_destino_rf,ranking_destino_rf,razonamiento_rf
Adrian Martin,19.0,0.0,2.0,52.0,0.0,0.14,0.0,0.24,Centrocampista,cesion,Betis Deportivo,Deportivo de La Coruña,Óscar Gilsanz,6,43.3,Alta,10010 min Sub23 en Mediocentro; 3 jugadores Sub23 usados; entrenador principal: Óscar Gilsanz; 12 goles Sub23; xG Sub23 11.33,10010.0,3,12.0,11.33,,Real Betis B,0.0,0.0,0.0,0.0,0.0,7,25320.0,47.0,7.0,21893.0,3258.0,6125.0,6583.0,5927.0,0.0,0.0,6583.0,6.0,1.0,2.0,2.0,6.0,54.15,-47957.78787486894,0.581972784887452,0.132459769561788,0.12884213117684742,0.39544957797963615,0.34324852128172845,otro,2.577665423307485,38.27,11,encaje historico 43.3/100; demanda club-posicion 54.1/100; revalorizacion esperada -€48k; prob. revalorizacion positiva 58%; se parece a historicos de otro; entrenador: Óscar Gilsanz
Adrian Martin,19.0,0.0,2.0,52.0,0.0,0.14,0.0,0.24,Centrocampista,cesion,Betis Deportivo,Cultural Leonesa,,11,25.33,Alta,5252 min Sub23 en Mediocentro; 4 jugadores Sub23 usados; entrenador principal: nan; 1 goles Sub23; xG Sub23 4.15,5252.0,4,1.0,4.15,,Real Betis B,0.0,0.0,0.0,0.0,0.0,11,20330.0,10.0,0.0,0.0,,,,,,,0.0,6.0,2.0,0.0,5.0,5.0,64.42,63987.13719613148,0.4737730463941553,0.25508457528201184,0.17351664707658976,0.5106900987428504,0.060708678898547606,otro,13.406804806280913,34.58,12,encaje historico 25.3/100; demanda club-posicion 64.4/100; revalorizacion esperada €64k; prob. revalorizacion positiva 47%; se parece a historicos de otro
Aitor Gismera,22.0,0.0,23.0,1558.0,0.0,0.06,0.0,0.0,Mediocentro,cesion,Betis Deportivo,CD Mirandés,Míchel Alonso,2,68.94,Alta,13632 min Sub23 en Mediocentro; 9 jugadores Sub23 usados; entrenador principal: Míchel Alonso; entrenador con 4573 min Sub23 en posicion; 9 goles Sub23; xG Sub23 13.58,13632.0,9,9.0,13.58,2027-06-30,Real Betis B,9.0,13632.0,9.0,13.58,41.38,23,32942.0,28.0,8.0,7335.0,1106.0,14.0,4573.0,1642.0,0.0,0.0,4573.0,0.0,0.0,0.0,0.0,0.0,0.0,408656.15795382013,0.46529323921693233,0.3548266290155451,0.25702061744034815,0.27353867717361824,0.11461407637048836,cesion,46.748815303055785,45.12,1,encaje historico 68.9/100; demanda club-posicion 0.0/100; revalorizacion esperada €409k; prob. revalorizacion positiva 47%; se parece a historicos de cesion; entrenador: Míchel Alonso
Aitor Gismera,22.0,0.0,23.0,1558.0,0.0,0.06,0.0,0.0,Mediocentro,cesion,Betis Deportivo,Racing Santander,Íñigo Vélez,3,67.87,Alta,13932 min Sub23 en Mediocentro; 9 jugadores Sub23 usados; entrenador principal: Íñigo Vélez; entrenador con 2207 min Sub23 en posicion; 14 goles Sub23; xG Sub23 12.65,13932.0,9,14.0,12.65,2027-06-30,Real Betis B,9.0,13932.0,14.0,12.65,43.18,19,32268.0,37.0,2.0,2445.0,0.0,0.0,2207.0,0.0,238.0,0.0,2207.0,0.0,0.0,0.0,0.0,0.0,0.0,211897.00924405162,0.3960026143759264,0.2686841206406416,0.26018359608193614,0.3377238867403466,0.13340839653707565,otro,27.71506058034839,38.6,2,encaje historico 67.9/100; demanda club-posicion 0.0/100; revalorizacion esperada €212k; prob. revalorizacion positiva 40%; se parece a historicos de otro; entrenador: Íñigo Vélez
Aitor Gismera,22.0,0.0,23.0,1558.0,0.0,0.06,0.0,0.0,Mediocentro,cesion,Betis Deportivo,Sporting Gijón,Rubén Albés,1,77.29,Alta,10680 min Sub23 en Mediocentro; 9 jugadores Sub23 usados; entrenador principal: Rubén Albés; entrenador con 10561 min Sub23 en posicion; 8 goles Sub23; xG Sub23 8.27,10680.0,9,8.0,8.27,2027-06-30,Real Betis B,9.0,10680.0,8.0,8.27,36.13,17,29556.0,30.0,13.0,20519.0,0.0,1307.0,10561.0,2707.0,5944.0,0.0,10561.0,0.0,0.0,0.0,0.0,0.0,0.0,-74594.75888832864,0.39088648265328524,0.23785454419873442,0.26007257585629184,0.33589127404147967,0.16618160590349443,otro,0.0009030407159841878,34.87,3,encaje historico 77.3/100; demanda club-posicion 0.0/100; revalorizacion esperada -€75k; prob. revalorizacion positiva 39%; se parece a historicos de otro; entrenador: Rubén Albés
Aitor Gismera,22.0,0.0,23.0,1558.0,0.0,0.06,0.0,0.0,Mediocentro,cesion,Betis Deportivo,SD Eibar,Gaizka Garitano,5,62.2,Alta,9206 min Sub23 en Mediocentro; 6 jugadores Sub23 usados; entrenador principal: Gaizka Garitano; entrenador con 9206 min Sub23 en posicion; 9 goles Sub23; xG Sub23 10.50,9206.0,6,9.0,10.5,2027-06-30,Real Betis B,6.0,9206.0,9.0,10.5,66.4,8,13865.0,9.0,8.0,13865.0,0.0,0.0,9206.0,0.0,4659.0,0.0,9206.0,0.0,0.0,0.0,0.0,0.0,0.0,-8668.507547853447,0.40887439439670226,0.23388204360327075,0.28757893571422194,0.3274554022460928,0.15108361843641457,otro,6.378365568027002,31.54,4,encaje historico 62.2/100; demanda club-posicion 0.0/100; revalorizacion esperada -€9k; prob. revalorizacion positiva 41%; se parece a historicos de otro; entrenador: Gaizka Garitano
Aitor Gismera,22.0,0.0,23.0,1558.0,0.0,0.06,0.0,0.0,Mediocentro,cesion,Betis Deportivo,UD Almería,Rubén Albés,4,63.02,Alta,8681 min Sub23 en Mediocentro; 4 jugadores Sub23 usados; entrenador principal: Rubén Albés; entrenador con 10561 min Sub23 en posicion; 17 goles Sub23; xG Sub23 15.28,8681.0,4,17.0,15.28,2027-06-30,Real Betis B,4.0,8681.0,17.0,15.28,63.61,6,13647.0,22.0,13.0,20519.0,0.0,1307.0,10561.0,2707.0,5944.0,0.0,10561.0,0.0,0.0,0.0,0.0,0.0,0.0,72380.93264387993,0.2750987186554467,0.20251308875566074,0.27268685780155183,0.3156061980255501,0.2091938554172373,otro,14.218789635411708,31.11,5,encaje historico 63.0/100; demanda club-posicion 0.0/100; revalorizacion esperada €72k; prob. revalorizacion positiva 28%; se parece a historicos de otro; entrenador: Rubén Albés
Aitor Gismera,22.0,0.0,23.0,1558.0,0.0,0.06,0.0,0.0,Mediocentro,cesion,Betis Deportivo,Córdoba CF,Iván Ania,7,44.56,Alta,5807 min Sub23 en Mediocentro; 5 jugadores Sub23 usados; entrenador principal: Iván Ania; entrenador con 2012 min Sub23 en posicion; 8 goles Sub23; xG Sub23 8.92,5807.0,5,8.0,8.92,2027-06-30,Real Betis B,5.0,5807.0,8.0,8.92,36.93,11,15724.0,13.0,3.0,4896.0,0.0,0.0,2012.0,2782.0,102.0,0.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,94429.5805701024,0.44497744033673386,0.2521051283833341,0.2863860220919818,0.3439065185139858,0.11760233101069842,otro,16.351694556717735,28.58,6,encaje historico 44.6/100; demanda club-posicion 0.0/100; revalorizacion esperada €94k; prob. revalorizacion positiva 44%; se parece a historicos de otro; entrenador: Iván Ania
Aitor Gismera,22.0,0.0,23.0,1558.0,0.0,0.06,0.0,0.0,Mediocentro,cesion,Betis Deportivo,Deportivo de La Coruña,Óscar Gilsanz,6,52.65,Alta,10010 min Sub23 en Mediocentro; 3 jugadores Sub23 usados; entrenador principal: Óscar Gilsanz; entrenador con 6583 min Sub23 en posicion; 12 goles Sub23; xG Sub23 11.33,10010.0,3,12.0,11.33,2027-06-30,Real Betis B,3.0,10010.0,12.0,11.33,39.53,7,25320.0,47.0,7.0,21893.0,3258.0,6125.0,6583.0,5927.0,0.0,0.0,6583.0,0.0,0.0,0.0,0.0,0.0,0.0,30766.60725914829,0.36700821482465007,0.20644272065915475,0.2641971411692077,0.3325653279435262,0.1967948102281114,otro,10.193173202743164,28.32,7,encaje historico 52.6/100; demanda club-posicion 0.0/100; revalorizacion esperada €31k; prob. revalorizacion positiva 37%; se parece a historicos de otro; entrenador: Óscar Gilsanz
Aitor Gismera,22.0,0.0,23.0,1558.0,0.0,0.06,0.0,0.0,Mediocentro,cesion,Betis Deportivo,FC Andorra,Ferran Costa,8,41.69,Alta,7481 min Sub23 en Mediocentro; 7 jugadores Sub23 usados; entrenador principal: Ferran Costa; entrenador con 1310 min Sub23 en posicion; 8 goles Sub23; xG Sub23 8.26,7481.0,7,8.0,8.26,2027-06-30,Real Betis B,7.0,7481.0,8.0,8.26,28.85,14,25927.0,34.0,3.0,2705.0,0.0,1395.0,1310.0,0.0,0.0,0.0,1310.0,0.0,0.0,0.0,0.0,0.0,0.0,84463.54056147269,0.4355647748675585,0.2738472298570239,0.2755975454818371,0.32853495581026604,0.12202026885087293,otro,15.387616584614122,27.15,8,encaje historico 41.7/100; demanda club-posicion 0.0/100; revalorizacion esperada €84k; prob. revalorizacion positiva 44%; se parece a historicos de otro; entrenador: Ferran Costa
