jugador,club,posicion,nacionalidad,edad_llegada,temporada_llegada,temporada_salida,vm_llegada,vm_salida,revalorizacion_abs,revalorizacion_pct,importe_compra,importe_venta
Sekou Gassama,Real Valladolid CF,Centre-Forward,Senegal,26,2021-22,2023-24,500000.0,300000.0,-200000.0,-40.0,,
Selvi Clua,UD Almería,Defensive Midfield,Spain,20,2024-25,2025-26,,300000.0,,,600000.0,
Sergi Enrich,Real Oviedo,Centre-Forward,Spain,32,2022-23,2023-24,1500000.0,1200000.0,-300000.0,-20.0,,
Sergi Enrich,Real Zaragoza,Centre-Forward,Spain,33,2023-24,2025-26,1200000.0,250000.0,-950000.0,-79.17,,
Sergi Enrich,SD Huesca,Centre-Forward,Spain,34,2024-25,2025-26,300000.0,250000.0,-50000.0,-16.67,,
Sergi Enrich,SD Ponferradina,Centre-Forward,Spain,31,2021-22,2022-23,1800000.0,1500000.0,-300000.0,-16.67,,
Sergi García,Albacete Balompié,Attacking Midfield,Spain,24,2023-24,2023-24,200000.0,200000.0,0.0,0.0,,
Sergi Guardiola,Real Valladolid CF,Centre-Forward,Spain,32,2023-24,2023-24,2000000.0,2000000.0,0.0,0.0,,1000000.0
Sergi Puig,SD Ponferradina,Goalkeeper,Spain,22,2021-22,2022-23,100000.0,100000.0,0.0,0.0,,
Sergi Serrano,FC Andorra,Left Winger,Spain,22,2022-23,2022-23,50000.0,50000.0,0.0,0.0,,
Sergio Aguza,UD Almería,Central Midfield,Spain,28,2021-22,2021-22,500000.0,500000.0,0.0,0.0,,
Sergio Akieme,UD Almería,Left-Back,Spain,23,2021-22,2021-22,5000000.0,5000000.0,0.0,0.0,4700000.0,
Sergio Barcia,CD Mirandés,Centre-Back,Spain,22,2023-24,2024-25,300000.0,1000000.0,700000.0,233.33,,450000.0
Sergio Bermejo,Elche CF,Right Winger,Spain,26,2023-24,2024-25,900000.0,900000.0,0.0,0.0,,
Sergio Bermejo,Real Zaragoza,Right Winger,Spain,26,2024-25,2024-25,900000.0,900000.0,0.0,0.0,,750000.0
Sergio Camello,CD Mirandés,Centre-Forward,Spain,20,2021-22,2022-23,2300000.0,3000000.0,700000.0,30.43,,
Sergio Carreira,CD Mirandés,Right-Back,Spain,20,2021-22,2022-23,1000000.0,1500000.0,500000.0,50.0,,
Sergio Carreira,Elche CF,Right-Back,Spain,22,2023-24,2024-25,1500000.0,1200000.0,-300000.0,-20.0,,
Sergio Carreira,Villarreal CF B,Right-Back,Spain,21,2022-23,2023-24,1500000.0,1500000.0,0.0,0.0,,
Sergio Castel,Burgos CF,Centre-Forward,Spain,27,2022-23,2023-24,700000.0,700000.0,0.0,0.0,,
Sergio Castel,Málaga CF,Centre-Forward,Spain,29,2024-25,2024-25,800000.0,700000.0,-100000.0,-12.5,,
Sergio Castel,UD Ibiza,Centre-Forward,Spain,26,2021-22,2022-23,600000.0,700000.0,100000.0,16.67,,
Sergio Cubero,Racing Ferrol,Right-Back,Spain,23,2023-24,2024-25,300000.0,600000.0,300000.0,100.0,,
Sergio Cubero,SD Eibar,Right-Back,Spain,21,2021-22,2023-24,,300000.0,,,,
Sergio González,CD Tenerife,Centre-Back,Spain,24,2021-22,2021-22,500000.0,500000.0,0.0,0.0,,
Sergio León,Elche CF,Centre-Forward,Spain,34,2023-24,2023-24,2000000.0,1500000.0,-500000.0,-25.0,400000.0,
Sergio León,Real Valladolid CF,Centre-Forward,Spain,32,2021-22,2023-24,1200000.0,2000000.0,800000.0,66.67,,400000.0
Sergio León,SD Eibar,Centre-Forward,Spain,35,2023-24,2024-25,1500000.0,800000.0,-700000.0,-46.67,,
Sergio Navarro,CD Leganés,Right Winger,Spain,22,2023-24,2023-24,150000.0,150000.0,0.0,0.0,,
Sergio Ortuño,CD Eldense,Central Midfield,Spain,24,2023-24,2023-24,300000.0,300000.0,0.0,0.0,,
Sergio Santos,CD Mirandés,Right-Back,Spain,21,2022-23,2023-24,250000.0,300000.0,50000.0,20.0,,
Sergio Tejera,FC Cartagena,Central Midfield,Spain,31,2021-22,2022-23,500000.0,500000.0,0.0,0.0,,
Serpeta,CD Castellón,Left Winger,Spain,25,2025-26,2025-26,200000.0,200000.0,0.0,0.0,,
Shinji Okazaki,FC Cartagena,Centre-Forward,Japan,35,2021-22,2022-23,1000000.0,300000.0,-700000.0,-70.0,,
Shon Weissman,Granada CF,Centre-Forward,Israel,26,2022-23,2025-26,5000000.0,1200000.0,-3800000.0,-76.0,,
Shon Weissman,Real Valladolid CF,Centre-Forward,Israel,27,2023-24,2023-24,4000000.0,4000000.0,0.0,0.0,,3500000.0
Simón Moreno,CD Mirandés,Centre-Forward,Spain,24,2021-22,2023-24,300000.0,600000.0,300000.0,100.0,,
Sinan Bakış,FC Andorra,Centre-Forward,Türkiye,28,2022-23,2023-24,600000.0,2000000.0,1400000.0,233.33,,
Sinan Bakış,Real Zaragoza,Centre-Forward,Türkiye,29,2023-24,2024-25,2000000.0,1200000.0,-800000.0,-40.0,,
Siren Diao,Granada CF,Centre-Forward,Spain,19,2024-25,2025-26,1500000.0,1500000.0,0.0,0.0,,
Sixtus Ogbuehi,CD Eldense,Centre-Forward,Nigeria,21,2024-25,2024-25,,100000.0,,,,
Slavy,SD Eibar,Centre-Forward,Bulgaria,22,2024-25,2025-26,300000.0,400000.0,100000.0,33.33,,
Sofiane El Ftouhi,AD Ceuta FC,Centre-Forward,France,24,2025-26,2025-26,150000.0,150000.0,0.0,0.0,,
Sory Kaba,UD Las Palmas,Centre-Forward,Guinea,29,2025-26,2025-26,1000000.0,1000000.0,0.0,0.0,,
Souleymane Faye,Granada CF,Right Winger,Senegal,22,2025-26,2025-26,500000.0,1500000.0,1000000.0,200.0,3600000.0,6300000.0
Stefan Simic,SD Eibar,Centre-Back,Czech Republic,28,2023-24,2024-25,400000.0,300000.0,-100000.0,-25.0,,
Stoichkov,Granada CF,Second Striker,Spain,31,2024-25,2025-26,2500000.0,1500000.0,-1000000.0,-40.0,2500000.0,
Stoichkov,SD Eibar,Second Striker,Spain,27,2021-22,2024-25,1000000.0,4000000.0,3000000.0,300.0,1000000.0,1000000.0
Stéphane Mbia,CF Fuenlabrada,Defensive Midfield,Cameroon,35,2021-22,2021-22,200000.0,200000.0,0.0,0.0,,
Tachi,CD Mirandés,Centre-Back,Spain,25,2023-24,2025-26,350000.0,600000.0,250000.0,71.43,,
Tachi,Deportivo Alavés,Centre-Back,Spain,24,2022-23,2022-23,800000.0,800000.0,0.0,0.0,,
Taichi Hara,Deportivo Alavés,Centre-Forward,Japan,23,2022-23,2022-23,1300000.0,1000000.0,-300000.0,-23.08,,
Taufek Bayoud,AD Ceuta FC,Left Winger,Spain,24,2025-26,2025-26,100000.0,100000.0,0.0,0.0,,
Theo Corbeanu,Granada CF,Right Winger,Canada,23,2025-26,2025-26,1800000.0,1800000.0,0.0,0.0,,850000.0
Thiago Ojeda,Villarreal CF B,Central Midfield,Argentina,19,2022-23,2023-24,,100000.0,,,,
Thomas Rodríguez,Burgos CF,Right Winger,Chile,28,2024-25,2024-25,250000.0,200000.0,-50000.0,-20.0,,
Thomas van den Belt,CD Castellón,Defensive Midfield,Netherlands,23,2024-25,2025-26,1800000.0,1800000.0,0.0,0.0,,
Théo Lucbert,Real Sociedad B,Left Winger,France,23,2021-22,2021-22,100000.0,100000.0,0.0,0.0,,
Tomeu Nadal,Burgos CF,Goalkeeper,Spain,35,2024-25,2025-26,200000.0,200000.0,0.0,0.0,,
Tomeu Nadal,CD Tenerife,Goalkeeper,Spain,34,2023-24,2024-25,300000.0,200000.0,-100000.0,-33.33,,
Tomeu Nadal,Real Oviedo,Goalkeeper,Spain,32,2021-22,2023-24,500000.0,300000.0,-200000.0,-40.0,,
Tomás Alarcón,Cádiz CF,Defensive Midfield,Chile,25,2024-25,2024-25,1000000.0,600000.0,-400000.0,-40.0,,
Tomás Alarcón,FC Cartagena,Defensive Midfield,Chile,24,2023-24,2024-25,1500000.0,1000000.0,-500000.0,-33.33,,
Tomás Alarcón,Real Zaragoza,Defensive Midfield,Chile,23,2022-23,2023-24,3000000.0,1500000.0,-1500000.0,-50.0,,
Tomás Mejías,FC Cartagena,Goalkeeper,Spain,35,2023-24,2024-25,100000.0,100000.0,0.0,0.0,,
Tomás Reymão,Albacete Balompié,Defensive Midfield,Portugal,24,2022-23,2022-23,300000.0,200000.0,-100000.0,-33.33,,
Tomáš Vaclík,Albacete Balompié,Goalkeeper,Czech Republic,34,2023-24,2024-25,1200000.0,600000.0,-600000.0,-50.0,,
Toni Datkovic,Albacete Balompié,Centre-Back,Croatia,29,2023-24,2023-24,600000.0,500000.0,-100000.0,-16.67,,
Toni Datkovic,FC Cartagena,Centre-Back,Croatia,28,2021-22,2023-24,500000.0,600000.0,100000.0,20.0,,
Toni Herrero,Levante UD,Left-Back,Spain,21,2022-23,2023-24,150000.0,300000.0,150000.0,100.0,,
Tonny Vilhena,RCD Espanyol Barcelona,Central Midfield,Netherlands,28,2023-24,2023-24,3800000.0,3800000.0,0.0,0.0,,3000000.0
Toño García,SD Eibar,Left-Back,Spain,31,2021-22,2022-23,800000.0,800000.0,0.0,0.0,,
Trilli,Real Valladolid CF,Right-Back,Spain,22,2025-26,2025-26,200000.0,200000.0,0.0,0.0,,
Tunde Akinsola,Real Valladolid CF,Left Winger,Nigeria,20,2023-24,2023-24,50000.0,100000.0,50000.0,100.0,,
Unai Egiluz,CD Mirandés,Centre-Back,Spain,22,2024-25,2025-26,100000.0,600000.0,500000.0,500.0,,
Unai Rementeria,CD Mirandés,Central Midfield,Spain,21,2021-22,2022-23,200000.0,200000.0,0.0,0.0,,
Unai Uberuaga,SD Amorebieta,Centre-Back,Spain,20,2021-22,2021-22,50000.0,50000.0,0.0,0.0,,
Unai Veiga,UD Las Palmas,Central Midfield,Spain,22,2021-22,2022-23,200000.0,200000.0,0.0,0.0,,
Unai Vencedor,Racing Santander,Central Midfield,Spain,23,2024-25,2025-26,2200000.0,2200000.0,0.0,0.0,,
Unai Vencedor,SD Eibar,Central Midfield,Spain,22,2023-24,2024-25,9000000.0,2200000.0,-6800000.0,-75.56,,
Urko Izeta,CD Mirandés,Centre-Forward,Spain,24,2024-25,2025-26,500000.0,2000000.0,1500000.0,300.0,,
Urko Izeta,SD Eibar,Centre-Forward,Spain,22,2022-23,2022-23,300000.0,300000.0,0.0,0.0,,
Uros Milovanović,Sporting Gijón,Centre-Forward,Serbia,21,2022-23,2025-26,700000.0,500000.0,-200000.0,-28.57,500000.0,
Usher Lobede,Cádiz CF,Left Winger,Spain,21,2025-26,2025-26,50000.0,50000.0,0.0,0.0,,
Valentín Pezzolesi,UD Las Palmas,Right-Back,Spain,18,2025-26,2025-26,100000.0,100000.0,0.0,0.0,,
Valentín Vada,Real Zaragoza,Central Midfield,Argentina,25,2021-22,2023-24,1000000.0,1000000.0,0.0,0.0,,
Valentín Vada,UD Almería,Central Midfield,Argentina,25,2021-22,2021-22,1000000.0,1000000.0,0.0,0.0,,
Vasyl Kravets,CD Leganés,Left-Back,Ukraine,23,2021-22,2022-23,800000.0,1000000.0,200000.0,25.0,,500000.0
Vasyl Kravets,Sporting Gijón,Left-Back,Ukraine,23,2021-22,2022-23,800000.0,1000000.0,200000.0,25.0,,
Vicente Iborra,Levante UD,Defensive Midfield,Spain,34,2022-23,2023-24,2000000.0,1200000.0,-800000.0,-40.0,,
Victor Parada,CD Mirandés,Left-Back,Spain,22,2024-25,2025-26,200000.0,500000.0,300000.0,150.0,,
Victor Sánchez,Córdoba CF,Centre-Forward,Spain,23,2025-26,2025-26,,,,,,
Vinícius Tanque,FC Cartagena,Centre-Forward,Brazil,26,2021-22,2021-22,400000.0,400000.0,0.0,0.0,,
Víctor Camarasa,Real Oviedo,Central Midfield,Spain,28,2022-23,2024-25,1000000.0,800000.0,-200000.0,-20.0,,
Víctor García,Real Valladolid CF,Right-Back,Spain,23,2021-22,2021-22,400000.0,400000.0,0.0,0.0,,
Víctor Gómez,Málaga CF,Right-Back,Spain,21,2021-22,2022-23,2500000.0,2500000.0,0.0,0.0,,
Víctor Gómez,RCD Espanyol Barcelona,Right-Back,Spain,23,2023-24,2023-24,5000000.0,5000000.0,0.0,0.0,,2000000.0
Víctor Meseguer,Granada CF,Central Midfield,Spain,23,2022-23,2024-25,1000000.0,2200000.0,1200000.0,120.0,1500000.0,3000000.0
Víctor Meseguer,Racing Santander,Central Midfield,Spain,25,2024-25,2025-26,2000000.0,1500000.0,-500000.0,-25.0,,
Víctor Mollejo,CD Tenerife,Right Winger,Spain,20,2021-22,2022-23,3000000.0,3000000.0,0.0,0.0,,
Víctor Mollejo,Real Zaragoza,Right Winger,Spain,21,2022-23,2024-25,3000000.0,3000000.0,0.0,0.0,,
Waldo Rubio,Real Valladolid CF,Left Winger,Spain,26,2021-22,2021-22,1000000.0,1200000.0,200000.0,20.0,,
Warren Tchimbembé,CD Mirandés,Defensive Midfield,Congo,23,2021-22,2022-23,1200000.0,800000.0,-400000.0,-33.33,,
Wesley Moraes,Levante UD,Centre-Forward,Brazil,25,2022-23,2023-24,6000000.0,3000000.0,-3000000.0,-50.0,,
William de Camargo,CD Leganés,Right Winger,Brazil,22,2021-22,2023-24,400000.0,100000.0,-300000.0,-75.0,,
Willy Chatiliez,SD Huesca,Right Winger,Chile,20,2025-26,2025-26,,300000.0,,,,
Xabi Etxeita,SD Eibar,Centre-Back,Spain,33,2021-22,2022-23,800000.0,500000.0,-300000.0,-37.5,,
Xavi Estacio,CD Eldense,Right-Back,Spain,22,2023-24,2023-24,150000.0,150000.0,0.0,0.0,,
Xavi Moreno,Real Valladolid CF,Right Winger,Spain,20,2025-26,2025-26,250000.0,300000.0,50000.0,20.0,,
Xavi Quintillà,CD Leganés,Left-Back,Spain,24,2021-22,2022-23,2800000.0,2000000.0,-800000.0,-28.57,,
Xeber Alkain,SD Eibar,Right Winger,Spain,27,2024-25,2025-26,1500000.0,800000.0,-700000.0,-46.67,,
Yacine Qasmi,CD Leganés,Centre-Forward,Morocco,31,2021-22,2023-24,600000.0,600000.0,0.0,0.0,,
Yacine Qasmi,SD Eibar,Centre-Forward,Morocco,32,2023-24,2024-25,600000.0,300000.0,-300000.0,-50.0,,
Yago Paredes,AD Alcorcón,Centre-Forward,Spain,18,2023-24,2023-24,100000.0,100000.0,0.0,0.0,,
Yan Eteki,FC Cartagena,Defensive Midfield,Cameroon,25,2022-23,2023-24,1000000.0,800000.0,-200000.0,-20.0,,
Yanis Rahmani,CD Tenerife,Left Winger,France,28,2023-24,2024-25,800000.0,700000.0,-100000.0,-12.5,,
Yanis Rahmani,Málaga CF,Left Winger,France,29,2024-25,2025-26,700000.0,400000.0,-300000.0,-42.86,,
Yanis Rahmani,SD Eibar,Left Winger,France,26,2021-22,2024-25,1000000.0,700000.0,-300000.0,-30.0,1500000.0,
Yanis Rahmani,UD Almería,Left Winger,France,26,2021-22,2021-22,1000000.0,1000000.0,0.0,0.0,,1500000.0
Yanis Senhadji,CD Tenerife,Centre-Forward,Spain,19,2024-25,2024-25,300000.0,300000.0,0.0,0.0,,
Yann Bodiger,FC Cartagena,Central Midfield,France,26,2021-22,2022-23,800000.0,1200000.0,400000.0,50.0,,
Yann Kembo,Sporting Gijón,Centre-Back,France,22,2024-25,2025-26,,100000.0,,,,
Yayo González,Real Oviedo,Central Midfield,Spain,19,2024-25,2024-25,250000.0,250000.0,0.0,0.0,,
Yeray Cabanzón,Racing Santander,Right Winger,Spain,20,2023-24,2025-26,300000.0,500000.0,200000.0,66.67,,
Yoel Bárcenas,CD Leganés,Right Winger,Panama,27,2021-22,2022-23,1000000.0,1500000.0,500000.0,50.0,,
Youba Diarra,Cádiz CF,Central Midfield,Mali,26,2024-25,2025-26,300000.0,500000.0,200000.0,66.67,,
Youness Lachhab,CD Eldense,Central Midfield,Morocco,24,2023-24,2024-25,150000.0,200000.0,50000.0,33.33,,
Yussif Saidu,Real Zaragoza,Central Midfield,Ghana,20,2025-26,2025-26,500000.0,500000.0,0.0,0.0,120000.0,
Yvan Neyou,CD Leganés,Defensive Midfield,Cameroon,25,2022-23,2025-26,3000000.0,3000000.0,0.0,0.0,,
Ziga Frelih,CD Mirandés,Goalkeeper,Slovenia,24,2022-23,2023-24,600000.0,500000.0,-100000.0,-16.67,,
Zé Carlos,UD Ibiza,Right-Back,Portugal,23,2022-23,2022-23,1500000.0,800000.0,-700000.0,-46.67,,
Àlex Corredera,CD Tenerife,Central Midfield,Spain,25,2021-22,2024-25,600000.0,1000000.0,400000.0,66.67,,500000.0
Álex Alegría,Burgos CF,Centre-Forward,Spain,28,2021-22,2022-23,500000.0,200000.0,-300000.0,-60.0,,
Álex Balboa,SD Huesca,Central Midfield,Equatorial Guinea,22,2023-24,2024-25,150000.0,200000.0,50000.0,33.33,,
Álex Barbu,AD Alcorcón,Centre-Back,Spain,20,2021-22,2021-22,,,,,,
Álex Barbu,CD Mirandés,Centre-Back,Spain,21,2022-23,2024-25,250000.0,500000.0,250000.0,100.0,,
Álex Bermejo,Burgos CF,Left Winger,Spain,23,2022-23,2024-25,600000.0,800000.0,200000.0,33.33,,
Álex Blesa,Levante UD,Central Midfield,Spain,20,2022-23,2024-25,300000.0,300000.0,0.0,0.0,,
Álex Calvo,CD Mirandés,Right Winger,Spain,20,2024-25,2025-26,1000000.0,400000.0,-600000.0,-60.0,,
Álex Cardero,CD Mirandés,Attacking Midfield,Spain,21,2025-26,2025-26,400000.0,400000.0,0.0,0.0,,
Álex Cardero,Real Oviedo,Attacking Midfield,Spain,19,2023-24,2023-24,200000.0,200000.0,0.0,0.0,,
Álex Domínguez,SD Eibar,Goalkeeper,Spain,26,2024-25,2025-26,300000.0,300000.0,0.0,0.0,,
Álex Domínguez,UD Ibiza,Goalkeeper,Spain,22,2021-22,2022-23,400000.0,300000.0,-100000.0,-25.0,,
Álex Domínguez,UD Las Palmas,Goalkeeper,Spain,23,2022-23,2021-22,300000.0,400000.0,100000.0,33.33,,
Álex Martín,CD Mirandés,Centre-Back,Spain,24,2022-23,2023-24,600000.0,800000.0,200000.0,33.33,,
Álex Martín,Elche CF,Centre-Back,Spain,25,2023-24,2023-24,800000.0,800000.0,0.0,0.0,,
Álex Martín,Racing Ferrol,Centre-Back,Spain,25,2023-24,2024-25,800000.0,600000.0,-200000.0,-25.0,,
Álex Masogo,CD Leganés,Central Midfield,Equatorial Guinea,21,2022-23,2023-24,50000.0,50000.0,0.0,0.0,,
Álex Millán,Real Oviedo,Centre-Forward,Spain,23,2023-24,2024-25,800000.0,800000.0,0.0,0.0,,
Álex Millán,Villarreal CF B,Centre-Forward,Spain,23,2022-23,2023-24,800000.0,800000.0,0.0,0.0,,
Álex Muñoz,Levante UD,Left-Back,Spain,27,2022-23,2024-25,500000.0,1200000.0,700000.0,140.0,,
Álex Petxarroman,Deportivo de La Coruña,Right-Back,Spain,27,2024-25,2025-26,600000.0,500000.0,-100000.0,-16.67,500000.0,
Álex Petxarroman,FC Andorra,Right-Back,Spain,25,2022-23,2023-24,1000000.0,600000.0,-400000.0,-40.0,,
Álex Pozo,UD Almería,Right Winger,Spain,22,2021-22,2025-26,4000000.0,1500000.0,-2500000.0,-62.5,,
Álex Sala,Córdoba CF,Central Midfield,Spain,23,2024-25,2025-26,300000.0,1000000.0,700000.0,233.33,500000.0,1500000.0
Álex Sancris,Burgos CF,Right Winger,Spain,26,2023-24,2025-26,300000.0,2000000.0,1700000.0,566.67,,
Álex Valle,FC Andorra,Left-Back,Spain,18,2022-23,2023-24,500000.0,500000.0,0.0,0.0,,
Álex Valle,Levante UD,Left-Back,Spain,19,2023-24,2024-25,500000.0,2500000.0,2000000.0,400.0,,
Álvaro Aceves,CD Eldense,Goalkeeper,Spain,20,2023-24,2024-25,200000.0,600000.0,400000.0,200.0,,
Álvaro Aguado,Real Valladolid CF,Central Midfield,Spain,25,2021-22,2023-24,400000.0,3000000.0,2600000.0,650.0,,
Álvaro Carrillo,SD Eibar,Centre-Back,Spain,22,2024-25,2025-26,300000.0,400000.0,100000.0,33.33,,
Álvaro Ferllo,SD Huesca,Goalkeeper,Spain,24,2022-23,2024-25,4000000.0,2500000.0,-1500000.0,-37.5,,
Álvaro García,RCD Espanyol Barcelona,Centre-Back,Spain,23,2023-24,2023-24,200000.0,200000.0,0.0,0.0,,
Álvaro García,UD Ibiza,Centre-Back,Spain,22,2022-23,2022-23,200000.0,200000.0,0.0,0.0,,
Álvaro Giménez,Real Zaragoza,Centre-Forward,Spain,30,2021-22,2022-23,1500000.0,1000000.0,-500000.0,-33.33,,
Álvaro Jiménez,CD Tenerife,Right Winger,Spain,28,2023-24,2024-25,700000.0,600000.0,-100000.0,-14.29,,
Álvaro Jiménez,Cádiz CF,Right Winger,Spain,29,2024-25,2024-25,600000.0,600000.0,0.0,0.0,,
Álvaro Jiménez,UD Ibiza,Right Winger,Spain,26,2021-22,2022-23,600000.0,600000.0,0.0,0.0,,
Álvaro Juan,AD Alcorcón,Left Winger,Spain,21,2021-22,2021-22,100000.0,100000.0,0.0,0.0,,
Álvaro Rodríguez,Albacete Balompié,Right-Back,Spain,27,2022-23,2025-26,600000.0,400000.0,-200000.0,-33.33,,
Álvaro Romero,CD Tenerife,Left Winger,Spain,27,2023-24,2024-25,400000.0,300000.0,-100000.0,-25.0,,
Álvaro Sanz,CD Mirandés,Defensive Midfield,Spain,21,2022-23,2024-25,700000.0,800000.0,100000.0,14.29,,
Álvaro Tejero,SD Eibar,Right-Back,Spain,24,2021-22,2024-25,1000000.0,2000000.0,1000000.0,100.0,,
Álvaro Vadillo,Málaga CF,Left Winger,Spain,27,2021-22,2022-23,1000000.0,800000.0,-200000.0,-20.0,,
Álvaro Vadillo,RCD Espanyol Barcelona,Left Winger,Spain,28,2023-24,2023-24,500000.0,500000.0,0.0,0.0,,
Álvaro Vadillo,Racing Ferrol,Left Winger,Spain,28,2023-24,2024-25,500000.0,400000.0,-100000.0,-20.0,,
Álvaro Vadillo,SD Eibar,Left Winger,Spain,27,2022-23,2023-24,800000.0,500000.0,-300000.0,-37.5,,
Álvaro Vázquez,Sporting Gijón,Centre-Forward,Spain,30,2021-22,2021-22,400000.0,400000.0,0.0,0.0,,
Álvaro Yuste,AD Alcorcón,Central Midfield,Spain,22,2023-24,2023-24,50000.0,50000.0,0.0,0.0,,
Ángel López,Real Zaragoza,Right-Back,Spain,19,2022-23,2023-24,,200000.0,,,,
Ángel Montoro,Real Oviedo,Central Midfield,Spain,34,2022-23,2023-24,1000000.0,800000.0,-200000.0,-20.0,,
Ángel Pérez,SD Huesca,Right Winger,Spain,22,2024-25,2025-26,150000.0,600000.0,450000.0,300.0,,1000000.0
Ángel Rodado,UD Ibiza,Centre-Forward,Spain,25,2022-23,2022-23,500000.0,500000.0,0.0,0.0,,
Ángel Sánchez,CD Eldense,Left Winger,Spain,25,2023-24,2023-24,100000.0,100000.0,0.0,0.0,,
Ángel Troncho,SD Eibar,Left Winger,Spain,20,2022-23,2025-26,100000.0,200000.0,100000.0,100.0,,
Èric Montes,Albacete Balompié,Central Midfield,Spain,25,2023-24,2023-24,200000.0,200000.0,0.0,0.0,,
Óscar Arribas,FC Cartagena,Left Winger,Philippines,23,2022-23,2022-23,500000.0,500000.0,0.0,0.0,,
Óscar Clemente,Levante UD,Attacking Midfield,Spain,24,2023-24,2024-25,600000.0,600000.0,0.0,0.0,,
Óscar Cortés,Sporting Gijón,Left Winger,Colombia,21,2025-26,2025-26,3000000.0,2000000.0,-1000000.0,-33.33,,
Óscar Melendo,Cádiz CF,Attacking Midfield,Spain,27,2024-25,2025-26,2000000.0,800000.0,-1200000.0,-60.0,1000000.0,
Óscar Melendo,Granada CF,Attacking Midfield,Spain,24,2022-23,2024-25,3000000.0,2000000.0,-1000000.0,-33.33,,1000000.0
Óscar Pinchi,CD Mirandés,Left Winger,Spain,26,2022-23,2023-24,300000.0,800000.0,500000.0,166.67,,
Óscar Pinchi,Racing Ferrol,Left Winger,Spain,28,2023-24,2024-25,550000.0,500000.0,-50000.0,-9.09,,
Óscar Pinchi,UD Las Palmas,Left Winger,Spain,25,2021-22,2022-23,300000.0,300000.0,0.0,0.0,,
Óscar Sielva,SD Eibar,Central Midfield,Spain,29,2021-22,2023-24,1000000.0,600000.0,-400000.0,-40.0,600000.0,200000.0
Óscar Sielva,SD Huesca,Central Midfield,Spain,30,2022-23,2023-24,800000.0,600000.0,-200000.0,-25.0,,
Óscar Ureña,FC Cartagena,Left Winger,Dominican Republic,19,2022-23,2023-24,200000.0,400000.0,200000.0,100.0,,
Úmaro Embaló,FC Cartagena,Right Winger,Portugal,22,2023-24,2023-24,1000000.0,1000000.0,0.0,0.0,,
