jugador,club,posicion,nacionalidad,edad_llegada,temporada_llegada,temporada_salida,vm_llegada,vm_salida,revalorizacion_abs,revalorizacion_pct,importe_compra,importe_venta
Niko Datkovic,CD Mirandés,Centre-Back,Croatia,28,2021-22,2022-23,500000.0,400000.0,-100000.0,-20.0,,
Nikola Maras,Levante UD,Centre-Back,Serbia,28,2023-24,2024-25,1200000.0,1200000.0,0.0,0.0,,
Nikola Maras,Sporting Gijón,Centre-Back,Serbia,28,2024-25,2025-26,1200000.0,1000000.0,-200000.0,-16.67,,
Nikola Milicic,Burgos CF,Centre-Back,Serbia,20,2024-25,2025-26,500000.0,500000.0,0.0,0.0,,
Nikolaos Michelis,CD Mirandés,Centre-Back,Greece,21,2022-23,2024-25,300000.0,300000.0,0.0,0.0,,
Njegos Petrovic,Granada CF,Defensive Midfield,Serbia,24,2024-25,2024-25,2500000.0,2500000.0,0.0,0.0,,800000.0
Nono,UD Ibiza,Defensive Midfield,Spain,30,2021-22,2022-23,300000.0,300000.0,0.0,0.0,,
Nuke Mfulu,Deportivo de La Coruña,Central Midfield,DR Congo,30,2024-25,2025-26,700000.0,500000.0,-200000.0,-28.57,,
Nuno Pina,CF Fuenlabrada,Central Midfield,Portugal,22,2021-22,2021-22,400000.0,400000.0,0.0,0.0,,
Odei Onaindia,CD Mirandés,Centre-Back,Spain,31,2021-22,2022-23,275000.0,300000.0,25000.0,9.09,,
Oier Olazábal,FC Andorra,Goalkeeper,Spain,33,2023-24,2025-26,200000.0,100000.0,-100000.0,-50.0,,
Omar El Amrani,Málaga CF,Striker,Morocco,20,2021-22,2021-22,,,,,,
Orest Lebedenko,CD Lugo,Left-Back,Ukraine,22,2021-22,2022-23,500000.0,500000.0,0.0,0.0,,
Oriol Rey,CD Mirandés,Defensive Midfield,Spain,23,2021-22,2023-24,300000.0,900000.0,600000.0,200.0,,
Oscar Carrasco,SD Eibar,Central Midfield,Spain,22,2025-26,2025-26,50000.0,50000.0,0.0,0.0,,
Pablo Brea,Deportivo de La Coruña,Goalkeeper,Spain,23,2024-25,2024-25,50000.0,50000.0,0.0,0.0,,
Pablo Campos,Levante UD,Goalkeeper,Spain,21,2023-24,2024-25,150000.0,800000.0,650000.0,433.33,,
Pablo García,CD Castellón,Goalkeeper,Spain,22,2024-25,2024-25,50000.0,50000.0,0.0,0.0,,
Pablo García,Sporting Gijón,Left-Back,Spain,23,2023-24,2022-23,600000.0,600000.0,0.0,0.0,,
Pablo Hernández,CD Tenerife,Central Midfield,Spain,22,2023-24,2024-25,,100000.0,,,,
Pablo Hervías,Málaga CF,Right Winger,Spain,29,2022-23,2022-23,600000.0,600000.0,0.0,0.0,,50000.0
Pablo Insua,Granada CF,Centre-Back,Spain,30,2024-25,2025-26,1000000.0,600000.0,-400000.0,-40.0,,
Pablo Insua,Sporting Gijón,Centre-Back,Spain,28,2022-23,2024-25,600000.0,1000000.0,400000.0,66.67,,
Pablo Larrea,CD Tenerife,Central Midfield,Spain,27,2021-22,2023-24,400000.0,400000.0,0.0,0.0,,
Pablo Martínez,SD Huesca,Central Midfield,Spain,23,2021-22,2022-23,1500000.0,1500000.0,0.0,0.0,,
Pablo Moreno,Girona FC,Centre-Forward,Spain,19,2021-22,2021-22,1000000.0,1000000.0,0.0,0.0,,
Pablo Muñoz,Deportivo de La Coruña,Left Winger,Spain,20,2024-25,2025-26,50000.0,150000.0,100000.0,200.0,,
Pablo Ramón,CD Mirandés,Centre-Back,Spain,22,2023-24,2024-25,300000.0,800000.0,500000.0,166.67,,
Pablo Rodríguez,Racing Santander,Attacking Midfield,Spain,22,2024-25,2025-26,1600000.0,1800000.0,200000.0,12.5,,
Pablo Sáenz,Albacete Balompié,Right Winger,Spain,23,2024-25,2025-26,500000.0,700000.0,200000.0,40.0,,
Pablo Sáenz,Granada CF,Right Winger,Spain,23,2024-25,2024-25,150000.0,500000.0,350000.0,233.33,,
Pablo Tomeo,CD Mirandés,Centre-Back,Spain,23,2023-24,2025-26,200000.0,1200000.0,1000000.0,500.0,,
Pablo Tomeo,SD Huesca,Centre-Back,Spain,22,2022-23,2023-24,50000.0,200000.0,150000.0,300.0,,
Pablo Valcarce,Burgos CF,Right Winger,Spain,28,2021-22,2023-24,600000.0,600000.0,0.0,0.0,,
Pablo Vázquez,FC Cartagena,Centre-Back,Spain,26,2021-22,2023-24,400000.0,500000.0,100000.0,25.0,,
Paco Cortés,Cultural Leonesa,Left Winger,Spain,18,2025-26,2025-26,,300000.0,,,,
Paco Puertas,CF Fuenlabrada,Centre-Back,Spain,25,2021-22,2021-22,50000.0,50000.0,0.0,0.0,,
Pape Maly Diamanka,Girona FC,Central Midfield,Senegal,31,2021-22,2021-22,400000.0,400000.0,0.0,0.0,,
Patrick Soko,SD Huesca,Right Winger,Cameroon,24,2022-23,2025-26,500000.0,1200000.0,700000.0,140.0,,
Pau Casadesús,FC Andorra,Right-Back,Spain,18,2022-23,2025-26,,100000.0,,,,
Pau Sans,Real Zaragoza,Left Winger,Spain,19,2024-25,2025-26,200000.0,1500000.0,1300000.0,650.0,,
Paul Anton,SD Ponferradina,Central Midfield,Romania,30,2021-22,2022-23,1100000.0,800000.0,-300000.0,-27.27,,
Paulino de la Fuente,Málaga CF,Right Winger,Spain,24,2021-22,2022-23,500000.0,800000.0,300000.0,60.0,,50000.0
Paulino de la Fuente,Real Oviedo,Right Winger,Spain,26,2023-24,2024-25,1500000.0,1600000.0,100000.0,6.67,,
Paulo Vítor,Real Valladolid CF,Left Winger,Brazil,24,2023-24,2023-24,400000.0,400000.0,0.0,0.0,,
Pedro Benito,Albacete Balompié,Right Winger,Spain,23,2023-24,2024-25,300000.0,300000.0,0.0,0.0,,
Pelayo Suárez,Sporting Gijón,Centre-Back,Spain,23,2022-23,2022-23,200000.0,200000.0,0.0,0.0,,
Pepe Sánchez,Granada CF,Centre-Back,Spain,22,2022-23,2022-23,300000.0,300000.0,0.0,0.0,,
Peque Fernández,Racing Santander,Second Striker,Spain,19,2022-23,2024-25,200000.0,3000000.0,2800000.0,1400.0,,4000000.0
Peru Nolaskoain,SD Eibar,Defensive Midfield,Spain,23,2022-23,2023-24,1500000.0,1000000.0,-500000.0,-33.33,,
Pierre Cornud,Real Oviedo,Left-Back,France,24,2021-22,2023-24,500000.0,1200000.0,700000.0,140.0,,
Piotr Parzyszek,CD Leganés,Centre-Forward,Poland,28,2022-23,2023-24,400000.0,300000.0,-100000.0,-25.0,,
Pipa,Burgos CF,Right-Back,Spain,26,2024-25,2025-26,2000000.0,1400000.0,-600000.0,-30.0,,
Pipo,AD Alcorcón,Left Winger,Spain,23,2021-22,2023-24,200000.0,200000.0,0.0,0.0,,
Plamen Andreev,Racing Santander,Goalkeeper,Bulgaria,20,2025-26,2025-26,1500000.0,1500000.0,0.0,0.0,,
