jugador,edad,equipo_actual,posicion_jugador,posicion_original,valor_mercado_jugador,minutos_jugador,goles_jugador,xg_jugador,ranking_destino,club_destino,posicion_destino,entrenador_principal,score_evidencia,nivel_evidencia,jugadores_sub23_destino,minutos_sub23_destino,partidos_sub23_destino,goles_sub23_destino,xg_sub23_destino,valor_medio_destino,revalorizacion_media_destino,temporadas_analizadas,pct_minutos_sub23_club,razones
D. Traoré,19,Real Betis B,Mediapunta,"AMF, RCMF",0,108,0,0.01,4,SD Eibar,Mediocentro,Gaizka Garitano,47.58,Alta,6,9206.0,162.0,9.0,10.5,800000.0,-500000.0,5,66.4,9206 min Sub23 en Mediocentro; 6 jugadores Sub23 usados; entrenador principal: Gaizka Garitano; 9 goles Sub23; xG Sub23 10.50
D. Traoré,19,Real Betis B,Mediapunta,"AMF, RCMF",0,108,0,0.01,5,UD Almería,Mediocentro,Rubén Albés,45.45,Alta,4,8681.0,159.0,17.0,15.28,2125000.0,,3,63.61,8681 min Sub23 en Mediocentro; 4 jugadores Sub23 usados; entrenador principal: Rubén Albés; 17 goles Sub23; xG Sub23 15.28
D. Traoré,19,Real Betis B,Mediapunta,"AMF, RCMF",0,108,0,0.01,6,Deportivo de La Coruña,Mediocentro,Óscar Gilsanz,41.45,Alta,3,10010.0,145.0,12.0,11.33,6600000.0,,3,39.53,10010 min Sub23 en Mediocentro; 3 jugadores Sub23 usados; entrenador principal: Óscar Gilsanz; 12 goles Sub23; xG Sub23 11.33
D. Traoré,19,Real Betis B,Mediapunta,"AMF, RCMF",0,108,0,0.01,7,Córdoba CF,Mediocentro,Iván Ania,40.36,Alta,5,5807.0,93.0,8.0,8.92,575000.0,400000.0,3,36.93,5807 min Sub23 en Mediocentro; 5 jugadores Sub23 usados; entrenador principal: Iván Ania; 8 goles Sub23; xG Sub23 8.92
D. Traoré,19,Real Betis B,Mediapunta,"AMF, RCMF",0,108,0,0.01,8,FC Andorra,Mediocentro,Ferran Costa,38.53,Alta,7,7481.0,151.0,8.0,8.26,400000.0,,4,28.85,7481 min Sub23 en Mediocentro; 7 jugadores Sub23 usados; entrenador principal: Ferran Costa; 8 goles Sub23; xG Sub23 8.26
D. Traoré,19,Real Betis B,Mediapunta,"AMF, RCMF",0,108,0,0.01,9,Sporting Gijón,Extremo,David Gallego,32.84,Alta,3,7021.0,133.0,16.0,12.85,1225000.0,0.0,3,23.75,7021 min Sub23 en Extremo; 3 jugadores Sub23 usados; entrenador principal: David Gallego; 16 goles Sub23; xG Sub23 12.85
D. Traoré,19,Real Betis B,Mediapunta,"AMF, RCMF",0,108,0,0.01,10,Cádiz CF,Extremo,Pako Ayestarán,32.8,Alta,5,6199.0,113.0,12.0,13.6,2000000.0,,2,19.96,6199 min Sub23 en Extremo; 5 jugadores Sub23 usados; entrenador principal: Pako Ayestarán; 12 goles Sub23; xG Sub23 13.60
D. Traoré,19,Real Betis B,Mediapunta,"AMF, RCMF",0,108,0,0.01,11,FC Andorra,Extremo,Ferran Costa,32.69,Alta,4,6013.0,119.0,17.0,15.31,500000.0,,3,23.19,6013 min Sub23 en Extremo; 4 jugadores Sub23 usados; entrenador principal: Ferran Costa; 17 goles Sub23; xG Sub23 15.31
D. Traoré,19,Real Betis B,Mediapunta,"AMF, RCMF",0,108,0,0.01,12,Deportivo de La Coruña,Extremo,Óscar Gilsanz,32.35,Media,2,6125.0,73.0,21.0,22.43,,,1,24.19,6125 min Sub23 en Extremo; 2 jugadores Sub23 usados; entrenador principal: Óscar Gilsanz; 21 goles Sub23; xG Sub23 22.43
Y. Koré,21,Real Betis B,Central,"RCB, RB",1000000,779,1,0.8,1,CD Leganés,Central,Borja Jiménez,82.02,Alta,4,11583.0,132.0,0.0,4.77,400000.0,,2,46.37,11583 min Sub23 en Central; 4 jugadores Sub23 usados; entrenador principal: Borja Jiménez; entrenador con 5204 min Sub23 en posicion; xG Sub23 4.77
Y. Koré,21,Real Betis B,Central,"RCB, RB",1000000,779,1,0.8,2,Girona FC,Central,Michel,78.3,Alta,2,8936.0,94.0,4.0,4.42,4000000.0,,3,44.23,8936 min Sub23 en Central; 2 jugadores Sub23 usados; entrenador principal: Michel; entrenador con 5381 min Sub23 en posicion; 4 goles Sub23; xG Sub23 4.42
Y. Koré,21,Real Betis B,Central,"RCB, RB",1000000,779,1,0.8,3,Cultural Leonesa,Central,,69.87,Alta,4,10123.0,114.0,4.0,5.97,466666.67,,2,49.79,10123 min Sub23 en Central; 4 jugadores Sub23 usados; entrenador principal: nan; 4 goles Sub23; xG Sub23 5.97
Y. Koré,21,Real Betis B,Central,"RCB, RB",1000000,779,1,0.8,4,Real Valladolid CF,Central,Diego Cocca,57.38,Alta,3,6995.0,78.0,1.0,2.13,125000.0,,2,31.7,6995 min Sub23 en Central; 3 jugadores Sub23 usados; entrenador principal: Diego Cocca; entrenador con 4971 min Sub23 en posicion; 1 goles Sub23; xG Sub23 2.13
Y. Koré,21,Real Betis B,Central,"RCB, RB",1000000,779,1,0.8,5,Deportivo de La Coruña,Central,Óscar Gilsanz,56.57,Alta,3,5927.0,70.0,3.0,3.12,150000.0,,2,23.41,5927 min Sub23 en Central; 3 jugadores Sub23 usados; entrenador principal: Óscar Gilsanz; entrenador con 5927 min Sub23 en posicion; 3 goles Sub23; xG Sub23 3.12
Y. Koré,21,Real Betis B,Central,"RCB, RB",1000000,779,1,0.8,6,Cádiz CF,Central,Pako Ayestarán,52.18,Alta,3,5706.0,63.0,1.0,2.72,275000.0,,2,18.37,5706 min Sub23 en Central; 3 jugadores Sub23 usados; entrenador principal: Pako Ayestarán; entrenador con 5706 min Sub23 en posicion; 1 goles Sub23; xG Sub23 2.72
Y. Koré,21,Real Betis B,Central,"RCB, RB",1000000,779,1,0.8,7,Racing Santander,Central,,50.59,Alta,4,5649.0,67.0,4.0,8.28,1300000.0,,2,17.51,5649 min Sub23 en Central; 4 jugadores Sub23 usados; entrenador principal: nan; 4 goles Sub23; xG Sub23 8.28
Y. Koré,21,Real Betis B,Central,"RCB, RB",1000000,779,1,0.8,8,Sporting Gijón,Central,Rubén Albés,44.73,Media,4,4918.0,59.0,1.0,1.31,450000.0,,3,16.64,4918 min Sub23 en Central; 4 jugadores Sub23 usados; entrenador principal: Rubén Albés; entrenador con 2707 min Sub23 en posicion; 1 goles Sub23; xG Sub23 1.31
Y. Koré,21,Real Betis B,Central,"RCB, RB",1000000,779,1,0.8,9,Granada CF,Central,Fran Escribá,43.7,Media,3,4150.0,53.0,3.0,1.76,375000.0,,1,15.25,4150 min Sub23 en Central; 3 jugadores Sub23 usados; entrenador principal: Fran Escribá; entrenador con 4150 min Sub23 en posicion; 3 goles Sub23; xG Sub23 1.76
Y. Koré,21,Real Betis B,Central,"RCB, RB",1000000,779,1,0.8,10,CD Mirandés,Central,Míchel Alonso,43.38,Alta,3,6303.0,78.0,1.0,1.66,400000.0,,3,19.13,6303 min Sub23 en Central; 3 jugadores Sub23 usados; entrenador principal: Míchel Alonso; entrenador con 1642 min Sub23 en posicion; 1 goles Sub23; xG Sub23 1.66
Y. Koré,21,Real Betis B,Central,"RCB, RB",1000000,779,1,0.8,11,Villarreal CF B,Central,,32.91,Media,2,3478.0,41.0,2.0,2.63,,,1,36.94,3478 min Sub23 en Central; 2 jugadores Sub23 usados; entrenador principal: nan; 2 goles Sub23; xG Sub23 2.63
Y. Koré,21,Real Betis B,Central,"RCB, RB",1000000,779,1,0.8,12,FC Andorra,Central,,32.24,Media,2,4959.0,57.0,2.0,2.44,150000.0,,1,19.13,4959 min Sub23 en Central; 2 jugadores Sub23 usados; entrenador principal: nan; 2 goles Sub23; xG Sub23 2.44
Marcos Solís,20,Real Betis B,Lateral,RB,0,129,0,0.0,1,Albacete Balompié,Lateral,Rubén Albés,78.21,Alta,4,8898.0,127.0,3.0,5.15,925000.0,,4,59.42,8898 min Sub23 en Lateral; 4 jugadores Sub23 usados; entrenador principal: Rubén Albés; entrenador con 5944 min Sub23 en posicion; 3 goles Sub23; xG Sub23 5.15
Marcos Solís,20,Real Betis B,Lateral,RB,0,129,0,0.0,2,Girona FC,Lateral,Michel,62.24,Alta,2,7835.0,83.0,5.0,6.14,5125000.0,,2,38.78,7835 min Sub23 en Lateral; 2 jugadores Sub23 usados; entrenador principal: Michel; entrenador con 3810 min Sub23 en posicion; 5 goles Sub23; xG Sub23 6.14
Marcos Solís,20,Real Betis B,Lateral,RB,0,129,0,0.0,3,Cádiz CF,Lateral,Pako Ayestarán,60.85,Alta,5,5952.0,80.0,4.0,1.08,212500.0,,2,19.17,5952 min Sub23 en Lateral; 5 jugadores Sub23 usados; entrenador principal: Pako Ayestarán; entrenador con 5952 min Sub23 en posicion; 4 goles Sub23; xG Sub23 1.08
Marcos Solís,20,Real Betis B,Lateral,RB,0,129,0,0.0,4,Racing Santander,Lateral,Íñigo Vélez,54.64,Alta,2,8891.0,110.0,4.0,5.95,500000.0,,4,27.55,8891 min Sub23 en Lateral; 2 jugadores Sub23 usados; entrenador principal: Íñigo Vélez; entrenador con 238 min Sub23 en posicion; 4 goles Sub23; xG Sub23 5.95
Marcos Solís,20,Real Betis B,Lateral,RB,0,129,0,0.0,5,RCD Espanyol Barcelona,Lateral,Luis García Plaza,53.95,Media,3,5656.0,71.0,0.0,0.99,966666.67,0.0,1,50.41,5656 min Sub23 en Lateral; 3 jugadores Sub23 usados; entrenador principal: Luis García Plaza; entrenador con 5656 min Sub23 en posicion; xG Sub23 0.99
Marcos Solís,20,Real Betis B,Lateral,RB,0,129,0,0.0,6,Real Zaragoza,Lateral,Víctor Fernández,51.66,Media,5,4384.0,63.0,0.0,1.27,883333.33,250000.0,3,39.35,4384 min Sub23 en Lateral; 5 jugadores Sub23 usados; entrenador principal: Víctor Fernández; entrenador con 941 min Sub23 en posicion; xG Sub23 1.27
Marcos Solís,20,Real Betis B,Lateral,RB,0,129,0,0.0,7,Sporting Gijón,Lateral,David Gallego,43.53,Alta,3,5830.0,81.0,1.0,1.58,600000.0,0.0,5,19.73,5830 min Sub23 en Lateral; 3 jugadores Sub23 usados; entrenador principal: David Gallego; entrenador con 2510 min Sub23 en posicion; 1 goles Sub23; xG Sub23 1.58
Marcos Solís,20,Real Betis B,Lateral,RB,0,129,0,0.0,8,SD Eibar,Lateral,Gaizka Garitano,41.93,Media,2,4659.0,72.0,0.0,0.92,600000.0,,3,33.6,4659 min Sub23 en Lateral; 2 jugadores Sub23 usados; entrenador principal: Gaizka Garitano; entrenador con 4659 min Sub23 en posicion; xG Sub23 0.92
Marcos Solís,20,Real Betis B,Lateral,RB,0,129,0,0.0,9,UD Almería,Lateral,Rubén Albés,41.4,Media,1,4065.0,66.0,2.0,1.3,500000.0,,4,29.79,4065 min Sub23 en Lateral; 1 jugadores Sub23 usados; entrenador principal: Rubén Albés; entrenador con 5944 min Sub23 en posicion; 2 goles Sub23; xG Sub23 1.30
Marcos Solís,20,Real Betis B,Lateral,RB,0,129,0,0.0,10,Granada CF,Lateral,Aitor Karanka,39.72,Alta,3,5806.0,85.0,3.0,1.65,233333.33,,2,21.34,5806 min Sub23 en Lateral; 3 jugadores Sub23 usados; entrenador principal: Aitor Karanka; entrenador con 203 min Sub23 en posicion; 3 goles Sub23; xG Sub23 1.65
Marcos Solís,20,Real Betis B,Lateral,RB,0,129,0,0.0,11,CD Mirandés,Lateral,,36.64,Media,3,5648.0,86.0,0.0,3.18,1375000.0,,1,17.15,5648 min Sub23 en Lateral; 3 jugadores Sub23 usados; entrenador principal: nan; xG Sub23 3.18
Marcos Solís,20,Real Betis B,Lateral,RB,0,129,0,0.0,12,CD Castellón,Lateral,,34.13,Media,3,3397.0,52.0,1.0,3.42,50000.0,,1,52.03,3397 min Sub23 en Lateral; 3 jugadores Sub23 usados; entrenador principal: nan; 1 goles Sub23; xG Sub23 3.42
M. Mensah,22,Real Betis B,Mediocentro,"RDMF, RCMF, LDMF",0,1209,0,0.42,1,Sporting Gijón,Mediocentro,Rubén Albés,77.29,Alta,9,10680.0,190.0,8.0,8.27,585714.29,500000.0,5,36.13,10680 min Sub23 en Mediocentro; 9 jugadores Sub23 usados; entrenador principal: Rubén Albés; entrenador con 10561 min Sub23 en posicion; 8 goles Sub23; xG Sub23 8.27
M. Mensah,22,Real Betis B,Mediocentro,"RDMF, RCMF, LDMF",0,1209,0,0.42,2,CD Mirandés,Mediocentro,Míchel Alonso,68.94,Alta,9,13632.0,224.0,9.0,13.58,208333.33,,4,41.38,13632 min Sub23 en Mediocentro; 9 jugadores Sub23 usados; entrenador principal: Míchel Alonso; entrenador con 4573 min Sub23 en posicion; 9 goles Sub23; xG Sub23 13.58
M. Mensah,22,Real Betis B,Mediocentro,"RDMF, RCMF, LDMF",0,1209,0,0.42,3,Racing Santander,Mediocentro,Íñigo Vélez,67.87,Alta,9,13932.0,218.0,14.0,12.65,1171428.57,,3,43.18,13932 min Sub23 en Mediocentro; 9 jugadores Sub23 usados; entrenador principal: Íñigo Vélez; entrenador con 2207 min Sub23 en posicion; 14 goles Sub23; xG Sub23 12.65
M. Mensah,22,Real Betis B,Mediocentro,"RDMF, RCMF, LDMF",0,1209,0,0.42,4,UD Almería,Mediocentro,Rubén Albés,63.02,Alta,4,8681.0,159.0,17.0,15.28,2125000.0,,3,63.61,8681 min Sub23 en Mediocentro; 4 jugadores Sub23 usados; entrenador principal: Rubén Albés; entrenador con 10561 min Sub23 en posicion; 17 goles Sub23; xG Sub23 15.28
M. Mensah,22,Real Betis B,Mediocentro,"RDMF, RCMF, LDMF",0,1209,0,0.42,5,SD Eibar,Mediocentro,Gaizka Garitano,62.2,Alta,6,9206.0,162.0,9.0,10.5,800000.0,-500000.0,5,66.4,9206 min Sub23 en Mediocentro; 6 jugadores Sub23 usados; entrenador principal: Gaizka Garitano; entrenador con 9206 min Sub23 en posicion; 9 goles Sub23; xG Sub23 10.50
M. Mensah,22,Real Betis B,Mediocentro,"RDMF, RCMF, LDMF",0,1209,0,0.42,6,Deportivo de La Coruña,Mediocentro,Óscar Gilsanz,52.65,Alta,3,10010.0,145.0,12.0,11.33,6600000.0,,3,39.53,10010 min Sub23 en Mediocentro; 3 jugadores Sub23 usados; entrenador principal: Óscar Gilsanz; entrenador con 6583 min Sub23 en posicion; 12 goles Sub23; xG Sub23 11.33
M. Mensah,22,Real Betis B,Mediocentro,"RDMF, RCMF, LDMF",0,1209,0,0.42,7,Córdoba CF,Mediocentro,Iván Ania,44.56,Alta,5,5807.0,93.0,8.0,8.92,575000.0,400000.0,3,36.93,5807 min Sub23 en Mediocentro; 5 jugadores Sub23 usados; entrenador principal: Iván Ania; entrenador con 2012 min Sub23 en posicion; 8 goles Sub23; xG Sub23 8.92
M. Mensah,22,Real Betis B,Mediocentro,"RDMF, RCMF, LDMF",0,1209,0,0.42,8,FC Andorra,Mediocentro,Ferran Costa,41.69,Alta,7,7481.0,151.0,8.0,8.26,400000.0,,4,28.85,7481 min Sub23 en Mediocentro; 7 jugadores Sub23 usados; entrenador principal: Ferran Costa; entrenador con 1310 min Sub23 en posicion; 8 goles Sub23; xG Sub23 8.26
M. Mensah,22,Real Betis B,Mediocentro,"RDMF, RCMF, LDMF",0,1209,0,0.42,9,Málaga CF,Mediocentro,José Alberto,36.73,Alta,3,7438.0,105.0,6.0,4.39,100000.0,,4,32.54,7438 min Sub23 en Mediocentro; 3 jugadores Sub23 usados; entrenador principal: José Alberto; entrenador con 3481 min Sub23 en posicion; 6 goles Sub23; xG Sub23 4.39
M. Mensah,22,Real Betis B,Mediocentro,"RDMF, RCMF, LDMF",0,1209,0,0.42,10,Albacete Balompié,Mediocentro,Rubén Albés,36.2,Media,4,3833.0,86.0,1.0,2.45,425000.0,,3,25.59,3833 min Sub23 en Mediocentro; 4 jugadores Sub23 usados; entrenador principal: Rubén Albés; entrenador con 10561 min Sub23 en posicion; 1 goles Sub23; xG Sub23 2.45
M. Mensah,22,Real Betis B,Mediocentro,"RDMF, RCMF, LDMF",0,1209,0,0.42,11,Burgos CF,Mediocentro,Julián Calero,35.86,Alta,4,6776.0,108.0,3.0,2.68,850000.0,,4,35.79,6776 min Sub23 en Mediocentro; 4 jugadores Sub23 usados; entrenador principal: Julián Calero; entrenador con 3552 min Sub23 en posicion; 3 goles Sub23; xG Sub23 2.68
M. Mensah,22,Real Betis B,Mediocentro,"RDMF, RCMF, LDMF",0,1209,0,0.42,12,Cultural Leonesa,Mediocentro,,25.33,Alta,4,5252.0,89.0,1.0,4.15,225000.0,,3,25.83,5252 min Sub23 en Mediocentro; 4 jugadores Sub23 usados; entrenador principal: nan; 1 goles Sub23; xG Sub23 4.15
Ismael Barea,20,Real Betis B,Mediocentro,"RDMF, RCMF",0,395,0,0.09,1,Sporting Gijón,Mediocentro,Rubén Albés,77.29,Alta,9,10680.0,190.0,8.0,8.27,585714.29,500000.0,5,36.13,10680 min Sub23 en Mediocentro; 9 jugadores Sub23 usados; entrenador principal: Rubén Albés; entrenador con 10561 min Sub23 en posicion; 8 goles Sub23; xG Sub23 8.27
Ismael Barea,20,Real Betis B,Mediocentro,"RDMF, RCMF",0,395,0,0.09,2,CD Mirandés,Mediocentro,Míchel Alonso,68.94,Alta,9,13632.0,224.0,9.0,13.58,208333.33,,4,41.38,13632 min Sub23 en Mediocentro; 9 jugadores Sub23 usados; entrenador principal: Míchel Alonso; entrenador con 4573 min Sub23 en posicion; 9 goles Sub23; xG Sub23 13.58
Ismael Barea,20,Real Betis B,Mediocentro,"RDMF, RCMF",0,395,0,0.09,3,Racing Santander,Mediocentro,Íñigo Vélez,67.87,Alta,9,13932.0,218.0,14.0,12.65,1171428.57,,3,43.18,13932 min Sub23 en Mediocentro; 9 jugadores Sub23 usados; entrenador principal: Íñigo Vélez; entrenador con 2207 min Sub23 en posicion; 14 goles Sub23; xG Sub23 12.65
Ismael Barea,20,Real Betis B,Mediocentro,"RDMF, RCMF",0,395,0,0.09,4,UD Almería,Mediocentro,Rubén Albés,63.02,Alta,4,8681.0,159.0,17.0,15.28,2125000.0,,3,63.61,8681 min Sub23 en Mediocentro; 4 jugadores Sub23 usados; entrenador principal: Rubén Albés; entrenador con 10561 min Sub23 en posicion; 17 goles Sub23; xG Sub23 15.28
Ismael Barea,20,Real Betis B,Mediocentro,"RDMF, RCMF",0,395,0,0.09,5,SD Eibar,Mediocentro,Gaizka Garitano,62.2,Alta,6,9206.0,162.0,9.0,10.5,800000.0,-500000.0,5,66.4,9206 min Sub23 en Mediocentro; 6 jugadores Sub23 usados; entrenador principal: Gaizka Garitano; entrenador con 9206 min Sub23 en posicion; 9 goles Sub23; xG Sub23 10.50
Ismael Barea,20,Real Betis B,Mediocentro,"RDMF, RCMF",0,395,0,0.09,6,Deportivo de La Coruña,Mediocentro,Óscar Gilsanz,52.65,Alta,3,10010.0,145.0,12.0,11.33,6600000.0,,3,39.53,10010 min Sub23 en Mediocentro; 3 jugadores Sub23 usados; entrenador principal: Óscar Gilsanz; entrenador con 6583 min Sub23 en posicion; 12 goles Sub23; xG Sub23 11.33
Ismael Barea,20,Real Betis B,Mediocentro,"RDMF, RCMF",0,395,0,0.09,7,Córdoba CF,Mediocentro,Iván Ania,44.56,Alta,5,5807.0,93.0,8.0,8.92,575000.0,400000.0,3,36.93,5807 min Sub23 en Mediocentro; 5 jugadores Sub23 usados; entrenador principal: Iván Ania; entrenador con 2012 min Sub23 en posicion; 8 goles Sub23; xG Sub23 8.92
Ismael Barea,20,Real Betis B,Mediocentro,"RDMF, RCMF",0,395,0,0.09,8,FC Andorra,Mediocentro,Ferran Costa,41.69,Alta,7,7481.0,151.0,8.0,8.26,400000.0,,4,28.85,7481 min Sub23 en Mediocentro; 7 jugadores Sub23 usados; entrenador principal: Ferran Costa; entrenador con 1310 min Sub23 en posicion; 8 goles Sub23; xG Sub23 8.26
Ismael Barea,20,Real Betis B,Mediocentro,"RDMF, RCMF",0,395,0,0.09,9,Málaga CF,Mediocentro,José Alberto,36.73,Alta,3,7438.0,105.0,6.0,4.39,100000.0,,4,32.54,7438 min Sub23 en Mediocentro; 3 jugadores Sub23 usados; entrenador principal: José Alberto; entrenador con 3481 min Sub23 en posicion; 6 goles Sub23; xG Sub23 4.39
Ismael Barea,20,Real Betis B,Mediocentro,"RDMF, RCMF",0,395,0,0.09,10,Albacete Balompié,Mediocentro,Rubén Albés,36.2,Media,4,3833.0,86.0,1.0,2.45,425000.0,,3,25.59,3833 min Sub23 en Mediocentro; 4 jugadores Sub23 usados; entrenador principal: Rubén Albés; entrenador con 10561 min Sub23 en posicion; 1 goles Sub23; xG Sub23 2.45
Ismael Barea,20,Real Betis B,Mediocentro,"RDMF, RCMF",0,395,0,0.09,11,Burgos CF,Mediocentro,Julián Calero,35.86,Alta,4,6776.0,108.0,3.0,2.68,850000.0,,4,35.79,6776 min Sub23 en Mediocentro; 4 jugadores Sub23 usados; entrenador principal: Julián Calero; entrenador con 3552 min Sub23 en posicion; 3 goles Sub23; xG Sub23 2.68
Ismael Barea,20,Real Betis B,Mediocentro,"RDMF, RCMF",0,395,0,0.09,12,Cultural Leonesa,Mediocentro,,25.33,Alta,4,5252.0,89.0,1.0,4.15,225000.0,,3,25.83,5252 min Sub23 en Mediocentro; 4 jugadores Sub23 usados; entrenador principal: nan; 1 goles Sub23; xG Sub23 4.15
Carlos Reina,21,Real Betis B,Delantero,"CF, LCMF, AMF",0,1653,6,5.51,1,Málaga CF,Delantero,,65.05,Alta,6,10966.0,200.0,47.0,40.65,800000.0,,2,47.97,10966 min Sub23 en Delantero; 6 jugadores Sub23 usados; entrenador principal: nan; 47 goles Sub23; xG Sub23 40.65
Carlos Reina,21,Real Betis B,Delantero,"CF, LCMF, AMF",0,1653,6,5.51,2,Granada CF,Delantero,Fran Escribá,53.99,Alta,3,9496.0,159.0,26.0,27.5,700000.0,,3,34.9,9496 min Sub23 en Delantero; 3 jugadores Sub23 usados; entrenador principal: Fran Escribá; entrenador con 2150 min Sub23 en posicion; 26 goles Sub23; xG Sub23 27.50
Carlos Reina,21,Real Betis B,Delantero,"CF, LCMF, AMF",0,1653,6,5.51,3,CD Leganés,Delantero,Borja Jiménez,45.72,Media,2,5456.0,77.0,25.0,25.33,2250000.0,0.0,1,21.84,5456 min Sub23 en Delantero; 2 jugadores Sub23 usados; entrenador principal: Borja Jiménez; entrenador con 5456 min Sub23 en posicion; 25 goles Sub23; xG Sub23 25.33
Carlos Reina,21,Real Betis B,Delantero,"CF, LCMF, AMF",0,1653,6,5.51,4,Cádiz CF,Delantero,Pako Ayestarán,41.54,Alta,3,5071.0,83.0,8.0,14.52,,,2,16.33,5071 min Sub23 en Delantero; 3 jugadores Sub23 usados; entrenador principal: Pako Ayestarán; entrenador con 5058 min Sub23 en posicion; 8 goles Sub23; xG Sub23 14.52
Carlos Reina,21,Real Betis B,Delantero,"CF, LCMF, AMF",0,1653,6,5.51,5,Real Valladolid CF,Delantero,Diego Cocca,36.27,Media,7,2905.0,47.0,9.0,9.19,1100000.0,,3,13.16,2905 min Sub23 en Delantero; 7 jugadores Sub23 usados; entrenador principal: Diego Cocca; entrenador con 2890 min Sub23 en posicion; 9 goles Sub23; xG Sub23 9.19
Carlos Reina,21,Real Betis B,Delantero,"CF, LCMF, AMF",0,1653,6,5.51,6,Real Sociedad B,Delantero,,34.44,Alta,3,5574.0,81.0,26.0,23.86,900000.0,,2,30.2,5574 min Sub23 en Delantero; 3 jugadores Sub23 usados; entrenador principal: nan; 26 goles Sub23; xG Sub23 23.86
Carlos Reina,21,Real Betis B,Delantero,"CF, LCMF, AMF",0,1653,6,5.51,7,Burgos CF,Delantero,Julián Calero,32.92,Media,2,3451.0,60.0,10.0,9.83,1100000.0,,2,18.23,3451 min Sub23 en Delantero; 2 jugadores Sub23 usados; entrenador principal: Julián Calero; entrenador con 4592 min Sub23 en posicion; 10 goles Sub23; xG Sub23 9.83
Carlos Reina,21,Real Betis B,Delantero,"CF, LCMF, AMF",0,1653,6,5.51,8,AD Ceuta FC,Delantero,,32.59,Media,2,3297.0,41.0,13.0,11.39,700000.0,,1,100.0,3297 min Sub23 en Delantero; 2 jugadores Sub23 usados; entrenador principal: nan; 13 goles Sub23; xG Sub23 11.39
Carlos Reina,21,Real Betis B,Delantero,"CF, LCMF, AMF",0,1653,6,5.51,9,Racing Santander,Delantero,,30.73,Media,3,3037.0,46.0,15.0,13.06,262500.0,1500000.0,2,9.41,3037 min Sub23 en Delantero; 3 jugadores Sub23 usados; entrenador principal: nan; 15 goles Sub23; xG Sub23 13.06
Carlos Reina,21,Real Betis B,Delantero,"CF, LCMF, AMF",0,1653,6,5.51,10,CD Mirandés,Delantero,Míchel Alonso,28.38,Media,5,3362.0,67.0,10.0,10.73,608333.33,,2,10.21,3362 min Sub23 en Delantero; 5 jugadores Sub23 usados; entrenador principal: Míchel Alonso; entrenador con 1106 min Sub23 en posicion; 10 goles Sub23; xG Sub23 10.73
Carlos Reina,21,Real Betis B,Delantero,"CF, LCMF, AMF",0,1653,6,5.51,11,Levante UD,Delantero,Julián Calero,26.53,Baja,2,1744.0,58.0,8.0,10.74,800000.0,,2,12.76,1744 min Sub23 en Delantero; 2 jugadores Sub23 usados; entrenador principal: Julián Calero; entrenador con 4592 min Sub23 en posicion; 8 goles Sub23; xG Sub23 10.74
Carlos Reina,21,Real Betis B,Delantero,"CF, LCMF, AMF",0,1653,6,5.51,12,Deportivo de La Coruña,Delantero,Óscar Gilsanz,26.22,Media,1,3258.0,38.0,11.0,13.44,,,1,12.87,3258 min Sub23 en Delantero; 1 jugadores Sub23 usados; entrenador principal: Óscar Gilsanz; entrenador con 3258 min Sub23 en posicion; 11 goles Sub23; xG Sub23 13.44
M. Kamara Rodriguez,22,Real Betis B,Extremo,"RW, LCB, RAMF",0,71,1,0.25,1,Cádiz CF,Extremo,Pako Ayestarán,70.85,Alta,5,6199.0,113.0,12.0,13.6,2000000.0,,2,19.96,6199 min Sub23 en Extremo; 5 jugadores Sub23 usados; entrenador principal: Pako Ayestarán; entrenador con 6199 min Sub23 en posicion; 12 goles Sub23; xG Sub23 13.60
M. Kamara Rodriguez,22,Real Betis B,Extremo,"RW, LCB, RAMF",0,71,1,0.25,2,Sporting Gijón,Extremo,David Gallego,69.3,Alta,3,7021.0,133.0,16.0,12.85,1225000.0,0.0,3,23.75,7021 min Sub23 en Extremo; 3 jugadores Sub23 usados; entrenador principal: David Gallego; entrenador con 5714 min Sub23 en posicion; 16 goles Sub23; xG Sub23 12.85
M. Kamara Rodriguez,22,Real Betis B,Extremo,"RW, LCB, RAMF",0,71,1,0.25,3,Deportivo de La Coruña,Extremo,Óscar Gilsanz,66.27,Media,2,6125.0,73.0,21.0,22.43,,,1,24.19,6125 min Sub23 en Extremo; 2 jugadores Sub23 usados; entrenador principal: Óscar Gilsanz; entrenador con 6125 min Sub23 en posicion; 21 goles Sub23; xG Sub23 22.43
M. Kamara Rodriguez,22,Real Betis B,Extremo,"RW, LCB, RAMF",0,71,1,0.25,4,Levante UD,Extremo,Julián Calero,60.87,Alta,2,5701.0,72.0,10.0,8.15,1200000.0,,2,41.73,5701 min Sub23 en Extremo; 2 jugadores Sub23 usados; entrenador principal: Julián Calero; entrenador con 5701 min Sub23 en posicion; 10 goles Sub23; xG Sub23 8.15
M. Kamara Rodriguez,22,Real Betis B,Extremo,"RW, LCB, RAMF",0,71,1,0.25,5,Villarreal CF B,Extremo,Miguel Álvarez,60.58,Alta,2,5529.0,95.0,3.0,9.37,,,3,58.73,5529 min Sub23 en Extremo; 2 jugadores Sub23 usados; entrenador principal: Miguel Álvarez; entrenador con 5058 min Sub23 en posicion; 3 goles Sub23; xG Sub23 9.37
