temporada,categoria,jugador,equipo,posicion_wyscout,posicion_primaria,posicion_normalizada,edad,pais_nacimiento,pasaporte,pie,altura,peso,valor_mercado,vencimiento_contrato,partidos_jugados,minutos_jugados,goles,xg,cesion,_match_key
2024-25,def,David Castro,Celje,"LCB, LB",LCB,Central,30.0,Spain,Spain,izquierdo,192,86,700000,2027-06-30,24,1984,0,0.6,False,david castro|celje|2024-25
2022-23,def,Saúl García,Racing Ferrol,LB,LB,Lateral,31.0,Spain,Spain,izquierdo,183,75,500000,2026-06-30,28,1978,1,0.39,False,saul garcia|racing ferrol|2022-23
2022-23,med,K. Hashimoto,Tokyo,"LCMF, RCMF",LCMF,Centrocampista,32.0,Japan,Japan,derecho,183,72,1000000,2027-06-30,33,1977,0,2.13,False,k hashimoto|tokyo|2022-23
2025-26,att,Arkaitz Mariezkurrena,Real Sociedad B,"CF, AMF",CF,Delantero,21.0,Spain,Spain,izquierdo,0,0,0,2029-06-30,40,1976,3,5.04,False,arkaitz mariezkurrena|real sociedad b|2025-26
2024-25,med,Fidel,CD Eldense,"RW, CF, RAMF",RW,Extremo,36.0,Spain,Spain,izquierdo,180,75,600000,2026-06-30,34,1973,4,4.87,False,fidel|cd eldense|2024-25
2021-22,def,Fran Grimà,Badalona Futur,RB,RB,Lateral,39.0,Spain,Spain,derecho,174,72,50000,2026-06-30,23,1972,0,2.41,False,fran grima|badalona futur|2021-22
2025-26,def,Germán Parreño,Deportivo de La Coruña,GK,GK,Portero,33.0,Spain,Spain,derecho,191,78,300000,2026-06-30,20,1970,0,0.0,False,german parreno|deportivo de la coruna|2025-26
2025-26,med,Hugo Novoa,CD Mirandés,"RB, RWB",RB,Lateral,23.0,Spain,Spain,derecho,182,70,2500000,2029-06-30,29,1969,0,0.72,True,hugo novoa|cd mirandes|2025-26
2022-23,def,Diego Alende,FC Andorra,"RCB, CB",RCB,Central,28.0,Spain,Spain,derecho,180,86,500000,2027-06-30,22,1967,0,0.76,False,diego alende|fc andorra|2022-23
2024-25,med,Pablo Rodríguez,Lech Poznań,"AMF, LAMF",AMF,Mediapunta,24.0,Spain,Spain,derecho,178,66,1600000,2029-06-30,35,1967,7,5.56,False,pablo rodriguez|lech poznan|2024-25
2023-24,def,Guille Rosas,Sporting Gijón,"RB, RWB",RB,Lateral,25.0,Spain,Spain,derecho,174,67,1200000,2028-06-30,31,1963,1,0.28,False,guille rosas|sporting gijon|2023-24
2024-25,att,Eneko Jauregi,Málaga CF,CF,CF,Delantero,29.0,Spain,Spain,derecho,184,81,500000,2026-06-30,36,1963,6,5.29,False,eneko jauregi|malaga cf|2024-25
