jugador,spieler_id
Carlos Fernández,216464
Carlos García,628494
Carlos Guirao,1054429
Carlos Gutiérrez,274753
Carlos Hernández,225459
Carlos Isaac,396324
Carlos Izquierdoz,116968
Carlos Julio Martínez,166658
Carlos Martín,618813
Carlos Martínez,95022
Carlos Neva,448844
Carlos Nieto,340682
Carlos Pita,34566
Carlos Pomares,238872
Carlos Protesoni,431190
Carlos Pérez,625524
Carlos Romero,709372
Carlos Ruiz,72421
Carlos Vicente,540536
Carlos Vigaray,263627
Carlos Álvarez,668179
Caye Quintana,238471
Cedric Omoigui,336729
Cedric Teguia,536831
Cenk Özkacar,615350
Charlie Patiño,581674
Charly Musonda Jr.,177862
Cheick Doukouré,129679
Cheick Timite,424709
Chema Rodríguez,248330
Chico Geraldes,257456
Chiki,511030
Choco Lozano,131275
Chris Ramos,538810
Christian Joel,531373
Christian Kofane,1364454
Christian Rivera,374077
Christos Almpanis,184885
Chuca,399779
Chupe,780817
Clau Mendes,699501
Claudio Medina,510385
Clément Grenier,72479
Clément Michelin,318520
Coke,71905
Conan Ledesma,284342
Cosimo da Graça,564795
Cote,87469
Cris Montes,421118
Cristian Cedrés,261493
Cristian Delgado,568153
Cristian Gutiérrez,566575
Cristian Herrera,237617
Cristian López,114282
Cristian Rivero,398131
Cristian Rodríguez,442802
Cristian Salvador,224774
Cristian Álvarez,55135
Cristo,339707
Cristo Romero,696890
Curro Sánchez,208116
Cyle Larin,343463
César Gelabert,505308
César Montes,387687
César Morgado,351539
César Tárrega,707274
César Yanis,741098
César de la Hoz,226261
Daijiro Chirino,611816
Dalisson de Almeida,644900
Damian Kądzior,199299
Damián Cáceres,845638
Damián Musto,67823
Damián Rodríguez,715628
Dani Aquino,59335
Dani Barrio,89471
Dani Bernabéu,1254421
Dani Calvo,326416
Dani Castellano,64363
Dani Cárdenas,397676
Dani Escriche,531829
Dani Fernández,403187
Dani González,706184
Dani Gómez,422460
Dani Hernández,88528
Dani Jiménez,126509
Dani Lorenzo,960562
Dani Martín,1099061
Dani Martín,335221
Dani Morer,282726
Dani Ojeda,111621
Dani Queipo,719726
Dani Raba,413262
Dani Rebollo,566666
Dani Requena,945709
Dani Rodríguez,139435
Dani Romera,271451
Dani Selma,831491
Dani Tasende,627282
Dani Villahermosa,628496
Dani Vivian,524000
Daniel Bachmann,120186
Daniel Carriço,37712
Daniel Fuzato,438682
Daniel Lasure,336736
Daniel Luna,857830
Daniel Paraschiv,605543
Dario Dumic,78818
Darko Brasanac,95641
Darwin Machís,211251
Darío Poveda,399780
Darío Sarmiento,668552
David Affengruber,452483
David Andújar,531267
David Batanero,379365
David Costas,276111
David Ferreiro,71918
David Flakus Bosilj,506941
David Forniés,221984
David García,971693
David Goldar,278357
David González,634267
David Juncà,164055
David Larrubia,635939
David Lombán,63723
David López,947431
David Martín,240851
David Mayoral,355629
David Morillas,133675
David Rodríguez,820375
David Simón,228584
David Timor,158795
David Torres,857832
David Vicente,554334
David del Pozo,372050
Davo,522190
Dawda Camara,891923
Denis Genreau,470618
Denis Suárez,165007
Denis Vavro,239962
Derick Poloni,429564
Derik Lacerda,700933
Diadié Samassékou,315604
Diego Alende,373683
Diego Altube,549069
Diego Aznar,1124142
Diego Barri,541646
Diego Bri,720532
Diego Collado,566965
Diego Conde,341713
Diego García,852727
Diego González,513441
Diego González,349836
Diego Gómez,941104
Diego Hormigo,767229
Diego Mariño,59349
Diego Mirapeix,601166
Diego Moreno,634122
Diego Méndez,932349
Diego Pampín,505493
Diego Percan,828338
Diego Rivas,224091
Diego Sia,999402
Diego Sánchez,825184
Diegui,349886
Dimitrios Siovas,52403
Dimitrios Stamatakis,890817
Diogo Queirós,357148
Diogo Verdasca,225162
Dioni,164402
Diosbert Rivero,588362
Diyaeddine Abzi,594497
Domingos Duarte,257376
Dragan Rosic,374055
Dragisa Gudelj,265391
Dyego Sousa,157036
Dário Essugo,670717
Eddie Salcedo,459661
Eder García,979324
Edgar Badia,102146
Edgar González,401624
Edgar Méndez,133794
Edu Campabadal,126722
Edu Espiau,565523
Edu Expósito,506248
Eduardo Mingotes,598916
Edward Bolaños,608534
Edward Cedeño,937710
Efe Aghama,1180386
Efe Akman,1016253
Ekain Zenitagoia,512070
Ekaitz Jiménez,504505
Ekaitz Molina,380602
Elady Zorrilla,240849
Elbasan Rashani,149579
Elliot Gómez,523995
Emanuel Insúa,226006
Emerson Espinoza,621169
Emiliano Gómez,577489
Emilio Bernad,480966
Emmanuel Apeh,463332
Emmanuel Attipoe,579304
Eneko Jauregi,376589
Eneko Satrústegui,158792
Eneko Undabarrena,349889
Enis Bardhi,245014
Enol Coto,636303
Enol Rodríguez,699607
Enric Franquesa,282700
Enric Gallego,114060
Enrique Clemente,487951
Enzo Boyomo,541555
Enzo Lombardo,443290
Enzo Roco,186862
Eray Cömert,298583
Eric Cañete,636689
Eric Curbelo,390823
Eric Puerto,786130
Eric Pérez,634108
Eric Ramírez,428746
Erick Cabaco,302991
Erick Ferigra,331501
Erik Jirka,339693
Erik Morán,67542
Ernesto Gómez,288460
Estanis Pedrola,913539
Esteban Andrada,105888
Esteban Burgos,337922
Esteban Saveljich,240360
Esteve Peña,398130
Etienne Eto'o,707359
Eudald Vergés,523166
Eugeni,223073
Ewan Urain,626962
Ezequiel Ponce,296783
Fabio Blanco,648909
Fabio González,531062
Fabián Orellana,60890
Fabri,642589
Fabrizio Brignani,355791
Facundo García,571079
Facundo González,825199
Facundo Pellistri,676318
Faitout Maouassa,357072
Fali,252667
Famara Diédhiou,237125
Fausto Grillo,323422
Fausto Tienza,174859
Fede San Emeterio,307519
Fede Vico,162079
Federico Bikoro,398557
Federico Bonini,530552
Federico Viñas,578419
Fer Niño,627294
Fermín García,1171102
Fernando Llorente,35564
Fernando Medrano,461619
Fernando Mimbacas,1073078
Fernando Pacheco,172015
Fernando Pumar,127919
Fernando Seoane,70988
Fidel,149231
Fidel Escobar,345716
Filip Jørgensen,585323
Filip Malbasic,162652
Florian Grillitsch,195736
Florian Lejeune,127108
Florian Miguel,347594
Florin Andone,177065
Fran Callejón,524742
Fran Carnicer,197118
Fran Delgado,711638
Fran García,152284
Fran Gámez,442816
Fran Sol,164292
Fran Vieites,551182
Fran Villalba,311680
Fran Álvarez,531273
Franchu,458466
Francisco Mwepu,632872
Francisco Portillo,138803
Franck Fomeyem,632080
Franco Soldano,358212
Frederico Venâncio,169681
Fábio Silva,505653
Félix Garreta,961945
Félix Ofoli,821031
Gabri Martínez,906948
