jugador,posicion,edad,es_sub23,minutos_actuales,goles_actuales,operacion_recomendada,probabilidad_exito,modelo_decision,score_v2_cesion,score_cesion_ajustado,score_mantener,score_mantener_raw,score_traspaso,score_traspaso_ajustado,contexto_descenso_filial,penalizacion_mantener_descenso,bonus_cesion_categoria_superior,club_modelo,entrenador_modelo,revalorizacion_esperada,clubes_ideales,entrenadores_ideales,casos_similares,justificacion
Ginés Sorroche,Centrocampista,22,True,1124,1,CEDER,49.7,operation_success_v2,39.7,49.7,23.6,41.6,42.8,42.8,True,18.0,10.0,Sporting Gijón,Rubén Albés,€148k,Sporting Gijón (67) | CD Mirandés (64) | Racing Santander (62) | UD Almería (59) | SD Eibar (56),Rubén Albés | Míchel Alonso | Íñigo Vélez | Gaizka Garitano,"Marc Aguado (FC Andorra, 100) | Rubén Quintanilla (Burgos CF, 100) | Jon Gorrotxategi (CD Mirandés, 100)","Ginés Sorroche (Centrocampista, 22 años, 1124' esta temporada). Recomendación CEDER: probabilidad de éxito estimada 50/100. Mejor destino: Sporting Gijón (score v2 cesión 40, desarrollo 96, demanda 93). Contexto clave: el Betis Deportivo ha descendido, por lo que mantener en el filial se penaliza (-18) y una cesión a categoría superior con destino competitivo recibe bonus (+10). Comparativa interna ajustada: cesión 50, mantener 24, venta 43. Casos similares: Marc Aguado, Rubén Quintanilla, Jon Gorrotxategi. Revalorización esperada (modelo): €148k."
I. Amores,Extremo,20,True,166,0,CEDER,49.5,operation_success_v2,39.5,49.5,2.4,20.4,43.5,37.5,True,18.0,10.0,Cádiz CF,Pako Ayestarán,€706k,Cádiz CF (69) | Sporting Gijón (60) | Deportivo de La Coruña (60) | FC Andorra (55) | CD Mirandés (51),Pako Ayestarán | David Gallego | Óscar Gilsanz | Ferran Costa | Míchel Alonso,"Bryan Zaragoza (Granada CF, 100) | Gabri Martínez (CD Mirandés, 100) | Raúl Moro (Real Valladolid CF, 100)","I. Amores (Extremo, 20 años, 166' esta temporada). Recomendación CEDER: probabilidad de éxito estimada 50/100. Pocos minutos en el filial: necesita competir para desarrollarse. Mejor destino: Cádiz CF (score v2 cesión 40, desarrollo 100, demanda 80). Contexto clave: el Betis Deportivo ha descendido, por lo que mantener en el filial se penaliza (-18) y una cesión a categoría superior con destino competitivo recibe bonus (+10). Comparativa interna ajustada: cesión 50, mantener 2, venta 38. Casos similares: Bryan Zaragoza, Gabri Martínez, Raúl Moro. Revalorización esperada (modelo): €706k."
Ian Forns,Lateral,22,True,2379,0,CEDER,49.5,operation_success_v2,39.5,49.5,40.0,58.0,42.5,42.5,True,18.0,10.0,Albacete Balompié,Rubén Albés,€235k,Albacete Balompié (68) | Cádiz CF (62) | CD Mirandés (51) | Real Zaragoza (51) | SD Eibar (50),Rubén Albés | Pako Ayestarán | Víctor Fernández | Gaizka Garitano,"Abel Bretones (Real Oviedo, 100) | Ignasi Vilarrasa (SD Huesca, 100) | Cristian Gutiérrez (SD Eibar, 100)","Ian Forns (Lateral, 22 años, 2379' esta temporada). Recomendación CEDER: probabilidad de éxito estimada 50/100. Mejor destino: Albacete Balompié (score v2 cesión 40, desarrollo 100, demanda 92). Contexto clave: el Betis Deportivo ha descendido, por lo que mantener en el filial se penaliza (-18) y una cesión a categoría superior con destino competitivo recibe bonus (+10). Comparativa interna ajustada: cesión 50, mantener 40, venta 42. Casos similares: Abel Bretones, Ignasi Vilarrasa, Cristian Gutiérrez. Revalorización esperada (modelo): €235k."
Jorge Oreiro,Central,20,True,2346,0,CEDER,49.3,operation_success_v2,39.3,49.3,43.3,61.3,41.9,35.9,True,18.0,10.0,CD Leganés,Borja Jiménez,€250k,CD Leganés (62) | Cádiz CF (60) | Sporting Gijón (57) | Real Valladolid CF (56) | CD Mirandés (54),Borja Jiménez | Pako Ayestarán | Rubén Albés | Diego Cocca | Míchel Alonso,"David López (Elche CF, 79) | Y. Saidu (Real Zaragoza, 56) | David Torres (Real Valladolid CF, 50)","Jorge Oreiro (Central, 20 años, 2346' esta temporada). Recomendación CEDER: probabilidad de éxito estimada 49/100. Mejor destino: CD Leganés (score v2 cesión 39, desarrollo 100, demanda 78). Contexto clave: el Betis Deportivo ha descendido, por lo que mantener en el filial se penaliza (-18) y una cesión a categoría superior con destino competitivo recibe bonus (+10). Comparativa interna ajustada: cesión 49, mantener 43, venta 36. Casos similares: David López, Y. Saidu, David Torres. Revalorización esperada (modelo): €250k."
Antonio González,Extremo,18,True,99,0,CEDER,49.2,operation_success_v2,39.2,49.2,0.0,17.8,43.2,37.2,True,18.0,10.0,Cádiz CF,Pako Ayestarán,€1.1M,Cádiz CF (69) | Sporting Gijón (60) | Deportivo de La Coruña (60) | FC Andorra (54) | CD Mirandés (51),Pako Ayestarán | David Gallego | Óscar Gilsanz | Ferran Costa | Míchel Alonso,"Dani Fernández (CD Tenerife, 21) | I. Álvarez (Cádiz CF, 9) | Paco Cortés (Cultural Leonesa, 4)","Antonio González (Extremo, 18 años, 99' esta temporada). Recomendación CEDER: probabilidad de éxito estimada 49/100. Pocos minutos en el filial: necesita competir para desarrollarse. Mejor destino: Cádiz CF (score v2 cesión 39, desarrollo 100, demanda 80). Contexto clave: el Betis Deportivo ha descendido, por lo que mantener en el filial se penaliza (-18) y una cesión a categoría superior con destino competitivo recibe bonus (+10). Comparativa interna ajustada: cesión 49, mantener 0, venta 37. Casos similares: Dani Fernández, I. Álvarez, Paco Cortés. Revalorización esperada (modelo): €1.1M."
R. Oya Mesa,Extremo,18,True,105,0,CEDER,49.2,operation_success_v2,39.2,49.2,1.0,19.0,43.3,37.3,True,18.0,10.0,Cádiz CF,Pako Ayestarán,€1.1M,Cádiz CF (69) | Sporting Gijón (60) | Deportivo de La Coruña (60) | FC Andorra (54) | CD Mirandés (51),Pako Ayestarán | David Gallego | Óscar Gilsanz | Ferran Costa | Míchel Alonso,"Dani Fernández (CD Tenerife, 21) | I. Álvarez (Cádiz CF, 9) | Paco Cortés (Cultural Leonesa, 4)","R. Oya Mesa (Extremo, 18 años, 105' esta temporada). Recomendación CEDER: probabilidad de éxito estimada 49/100. Pocos minutos en el filial: necesita competir para desarrollarse. Mejor destino: Cádiz CF (score v2 cesión 39, desarrollo 100, demanda 80). Contexto clave: el Betis Deportivo ha descendido, por lo que mantener en el filial se penaliza (-18) y una cesión a categoría superior con destino competitivo recibe bonus (+10). Comparativa interna ajustada: cesión 49, mantener 1, venta 37. Casos similares: Dani Fernández, I. Álvarez, Paco Cortés. Revalorización esperada (modelo): €1.1M."
D. Bladi,Lateral,21,True,2313,1,CEDER,49.2,operation_success_v2,39.2,49.2,43.7,61.7,42.1,36.1,True,18.0,10.0,Albacete Balompié,Rubén Albés,€262k,Albacete Balompié (68) | Cádiz CF (62) | CD Mirandés (51) | Real Zaragoza (51) | SD Eibar (50),Rubén Albés | Pako Ayestarán | Víctor Fernández | Gaizka Garitano,"Anderson Arroyo (CD Mirandés, 100) | Imanol García De Albéniz (CD Mirandés, 100) | Juan María Alcedo (Albacete Balompié, 100)","D. Bladi (Lateral, 21 años, 2313' esta temporada). Recomendación CEDER: probabilidad de éxito estimada 49/100. Mejor destino: Albacete Balompié (score v2 cesión 39, desarrollo 100, demanda 92). Contexto clave: el Betis Deportivo ha descendido, por lo que mantener en el filial se penaliza (-18) y una cesión a categoría superior con destino competitivo recibe bonus (+10). Comparativa interna ajustada: cesión 49, mantener 44, venta 36. Casos similares: Anderson Arroyo, Imanol García De Albéniz, Juan María Alcedo. Revalorización esperada (modelo): €262k."
Dani Pérez,Centrocampista,20,True,2090,0,CEDER,48.8,operation_success_v2,38.8,48.8,36.8,54.8,41.9,35.9,True,18.0,10.0,Sporting Gijón,Rubén Albés,€233k,Sporting Gijón (66) | CD Mirandés (64) | Racing Santander (61) | UD Almería (58) | SD Eibar (55),Rubén Albés | Míchel Alonso | Íñigo Vélez | Gaizka Garitano,"Rafel Bauzà (CD Mirandés, 74) | Izan Merino (Málaga CF, 67) | T. Helguera (CD Mirandés, 63)","Dani Pérez (Centrocampista, 20 años, 2090' esta temporada). Recomendación CEDER: probabilidad de éxito estimada 49/100. Mejor destino: Sporting Gijón (score v2 cesión 39, desarrollo 96, demanda 93). Contexto clave: el Betis Deportivo ha descendido, por lo que mantener en el filial se penaliza (-18) y una cesión a categoría superior con destino competitivo recibe bonus (+10). Comparativa interna ajustada: cesión 49, mantener 37, venta 36. Casos similares: Rafel Bauzà, Izan Merino, T. Helguera. Revalorización esperada (modelo): €233k."
Iván Corralejo,Centrocampista,19,True,1345,2,CEDER,48.3,operation_success_v2,38.3,48.3,30.8,48.8,41.8,35.8,True,18.0,10.0,Sporting Gijón,Rubén Albés,€250k,Sporting Gijón (66) | CD Mirandés (64) | Racing Santander (61) | UD Almería (58) | SD Eibar (55),Rubén Albés | Míchel Alonso | Íñigo Vélez | Gaizka Garitano,"A. Martin Luis (CD Mirandés, 50) | Beñat Turrientes (Real Sociedad B, 46) | Manu Rodríguez (Sporting Gijón, 41)","Iván Corralejo (Centrocampista, 19 años, 1345' esta temporada). Recomendación CEDER: probabilidad de éxito estimada 48/100. Mejor destino: Sporting Gijón (score v2 cesión 38, desarrollo 96, demanda 93). Contexto clave: el Betis Deportivo ha descendido, por lo que mantener en el filial se penaliza (-18) y una cesión a categoría superior con destino competitivo recibe bonus (+10). Comparativa interna ajustada: cesión 48, mantener 31, venta 36. Casos similares: A. Martin Luis, Beñat Turrientes, Manu Rodríguez. Revalorización esperada (modelo): €250k."
G. Bouare Samake,Mediocentro,21,True,2783,2,MANTENER,48.1,operation_success_v2,37.3,37.3,48.1,66.1,39.6,33.6,True,18.0,0.0,Sporting Gijón,Rubén Albés,€192k,Sporting Gijón (48) | UD Almería (44) | SD Eibar (42) | CD Mirandés (42) | Deportivo de La Coruña (41),Rubén Albés | Gaizka Garitano | Míchel Alonso | Óscar Gilsanz,"Antonio Moyano (AD Alcorcón, 100) | Anderson Arroyo (CD Mirandés, 100) | Imanol García De Albéniz (CD Mirandés, 100)","G. Bouare Samake (Mediocentro, 21 años, 2783' esta temporada). Recomendación MANTENER: rinde en el filial, score 48/100. Mejor destino: Sporting Gijón (score v2 cesión 37, desarrollo 100, demanda 0). Contexto clave: el Betis Deportivo ha descendido, por lo que mantener en el filial se penaliza (-18) y una cesión a categoría superior con destino competitivo recibe bonus (+0). Comparativa interna ajustada: cesión 37, mantener 48, venta 34. Casos similares: Antonio Moyano, Anderson Arroyo, Imanol García De Albéniz. Revalorización esperada (modelo): €192k."
E. Zidane,Central,20,True,1666,0,CEDER,48.0,operation_success_v2,38.0,48.0,31.1,49.1,40.7,34.7,True,18.0,10.0,CD Leganés,Borja Jiménez,€238k,CD Leganés (62) | Cádiz CF (60) | Sporting Gijón (56) | Real Valladolid CF (55) | CD Mirandés (54),Borja Jiménez | Pako Ayestarán | Rubén Albés | Diego Cocca | Míchel Alonso,"David López (Elche CF, 79) | Y. Saidu (Real Zaragoza, 56) | David Torres (Real Valladolid CF, 50)","E. Zidane (Central, 20 años, 1666' esta temporada). Recomendación CEDER: probabilidad de éxito estimada 48/100. Mejor destino: CD Leganés (score v2 cesión 38, desarrollo 100, demanda 78). Contexto clave: el Betis Deportivo ha descendido, por lo que mantener en el filial se penaliza (-18) y una cesión a categoría superior con destino competitivo recibe bonus (+10). Comparativa interna ajustada: cesión 48, mantener 31, venta 35. Casos similares: David López, Y. Saidu, David Torres. Revalorización esperada (modelo): €238k."
German García,Portero,22,True,525,0,CEDER,47.9,operation_success_v2,37.9,47.9,1.3,19.3,39.2,39.2,True,18.0,10.0,FC Andorra,,€10k,FC Andorra (55) | Cádiz CF (54) | Real Valladolid CF (48) | Córdoba CF (44) | Granada CF (35),Pako Ayestarán | Paulo Pezzolano,"Leo Román (Real Oviedo, 100) | Victor Aznar (Cádiz CF, 67) | Ramón Vila (Córdoba CF, 52)","German García (Portero, 22 años, 525' esta temporada). Recomendación CEDER: probabilidad de éxito estimada 48/100. Pocos minutos en el filial: necesita competir para desarrollarse. Mejor destino: FC Andorra (score v2 cesión 38, desarrollo 100, demanda 62). Contexto clave: el Betis Deportivo ha descendido, por lo que mantener en el filial se penaliza (-18) y una cesión a categoría superior con destino competitivo recibe bonus (+10). Comparativa interna ajustada: cesión 48, mantener 1, venta 39. Casos similares: Leo Román, Victor Aznar, Ramón Vila. Revalorización esperada (modelo): €10k."
V. Răfăilă,Portero,21,True,106,0,CEDER,47.8,operation_success_v2,37.8,47.8,0.0,13.8,39.0,33.0,True,18.0,10.0,FC Andorra,,€16k,FC Andorra (54) | Cádiz CF (54) | Real Valladolid CF (48) | Córdoba CF (44) | Granada CF (35),Pako Ayestarán | Paulo Pezzolano,"Pablo Campos (Levante UD, 100) | Ramón Juan (CD Mirandés, 79) | Antal Yaakobishvili (FC Andorra, 51)","V. Răfăilă (Portero, 21 años, 106' esta temporada). Recomendación CEDER: probabilidad de éxito estimada 48/100. Pocos minutos en el filial: necesita competir para desarrollarse. Mejor destino: FC Andorra (score v2 cesión 38, desarrollo 100, demanda 62). Contexto clave: el Betis Deportivo ha descendido, por lo que mantener en el filial se penaliza (-18) y una cesión a categoría superior con destino competitivo recibe bonus (+10). Comparativa interna ajustada: cesión 48, mantener 0, venta 33. Casos similares: Pablo Campos, Ramón Juan, Antal Yaakobishvili. Revalorización esperada (modelo): €16k."
Òscar Masqué,Lateral,19,True,1361,1,CEDER,46.5,operation_success_v2,36.5,46.5,26.3,44.3,39.9,33.9,True,18.0,10.0,Albacete Balompié,Rubén Albés,€321k,Albacete Balompié (66) | Cádiz CF (61) | CD Mirandés (50) | Real Zaragoza (49) | SD Eibar (48),Rubén Albés | Pako Ayestarán | Víctor Fernández | Gaizka Garitano,"Álex Valle (Levante UD, 100) | Jonathan Gómez (CD Mirandés, 96) | J. Salinas (Racing Santander, 69)","Òscar Masqué (Lateral, 19 años, 1361' esta temporada). Recomendación CEDER: probabilidad de éxito estimada 46/100. Mejor destino: Albacete Balompié (score v2 cesión 36, desarrollo 100, demanda 92). Contexto clave: el Betis Deportivo ha descendido, por lo que mantener en el filial se penaliza (-18) y una cesión a categoría superior con destino competitivo recibe bonus (+10). Comparativa interna ajustada: cesión 46, mantener 26, venta 34. Casos similares: Álex Valle, Jonathan Gómez, J. Salinas. Revalorización esperada (modelo): €321k."
M. Hamdoune,Central,21,True,1079,0,CEDER,46.0,operation_success_v2,36.0,46.0,11.0,29.0,39.0,33.0,True,18.0,10.0,CD Leganés,Borja Jiménez,€226k,CD Leganés (61) | Cádiz CF (59) | Sporting Gijón (56) | Real Valladolid CF (54) | CD Mirandés (53),Borja Jiménez | Pako Ayestarán | Rubén Albés | Diego Cocca | Míchel Alonso,"José Copete (SD Ponferradina, 100) | Loïc Williams (CD Tenerife, 100) | David López (Burgos CF, 100)","M. Hamdoune (Central, 21 años, 1079' esta temporada). Recomendación CEDER: probabilidad de éxito estimada 46/100. Mejor destino: CD Leganés (score v2 cesión 36, desarrollo 100, demanda 78). Contexto clave: el Betis Deportivo ha descendido, por lo que mantener en el filial se penaliza (-18) y una cesión a categoría superior con destino competitivo recibe bonus (+10). Comparativa interna ajustada: cesión 46, mantener 11, venta 33. Casos similares: José Copete, Loïc Williams, David López. Revalorización esperada (modelo): €226k."
Emmanuel,Central,19,True,951,1,CEDER,46.0,operation_success_v2,36.0,46.0,20.4,38.4,39.0,33.0,True,18.0,10.0,CD Leganés,Borja Jiménez,€322k,CD Leganés (61) | Cádiz CF (59) | Sporting Gijón (55) | Real Valladolid CF (54) | CD Mirandés (53),Borja Jiménez | Pako Ayestarán | Rubén Albés | Diego Cocca | Míchel Alonso,"Marc Pubill (Levante UD, 50) | Mamadou Mbacke (Villarreal CF B, 46) | Iker Córdoba (CD Mirandés, 38)","Emmanuel (Central, 19 años, 951' esta temporada). Recomendación CEDER: probabilidad de éxito estimada 46/100. Mejor destino: CD Leganés (score v2 cesión 36, desarrollo 100, demanda 78). Contexto clave: el Betis Deportivo ha descendido, por lo que mantener en el filial se penaliza (-18) y una cesión a categoría superior con destino competitivo recibe bonus (+10). Comparativa interna ajustada: cesión 46, mantener 20, venta 33. Casos similares: Marc Pubill, Mamadou Mbacke, Iker Córdoba. Revalorización esperada (modelo): €322k."
F. Embalo Muñoz,Central,20,True,824,0,CEDER,45.9,operation_success_v2,35.9,45.9,14.8,32.8,38.9,32.9,True,18.0,10.0,CD Leganés,Borja Jiménez,€236k,CD Leganés (61) | Cádiz CF (59) | Sporting Gijón (55) | Real Valladolid CF (54) | CD Mirandés (53),Borja Jiménez | Pako Ayestarán | Rubén Albés | Diego Cocca | Míchel Alonso,"David López (Elche CF, 79) | Y. Saidu (Real Zaragoza, 56) | David Torres (Real Valladolid CF, 50)","F. Embalo Muñoz (Central, 20 años, 824' esta temporada). Recomendación CEDER: probabilidad de éxito estimada 46/100. Pocos minutos en el filial: necesita competir para desarrollarse. Mejor destino: CD Leganés (score v2 cesión 36, desarrollo 100, demanda 78). Contexto clave: el Betis Deportivo ha descendido, por lo que mantener en el filial se penaliza (-18) y una cesión a categoría superior con destino competitivo recibe bonus (+10). Comparativa interna ajustada: cesión 46, mantener 15, venta 33. Casos similares: David López, Y. Saidu, David Torres. Revalorización esperada (modelo): €236k."
Pablo Busto,Lateral,20,True,896,0,CEDER,45.7,operation_success_v2,35.7,45.7,12.4,30.4,39.3,33.3,True,18.0,10.0,Albacete Balompié,Rubén Albés,€244k,Albacete Balompié (66) | Cádiz CF (60) | CD Mirandés (49) | Real Zaragoza (48) | SD Eibar (48),Rubén Albés | Pako Ayestarán | Víctor Fernández | Gaizka Garitano,"Marcos Luna (Real Zaragoza, 100) | Oscar Naasei (Granada CF, 69) | Roger Hinojo (Cultural Leonesa, 68)","Pablo Busto (Lateral, 20 años, 896' esta temporada). Recomendación CEDER: probabilidad de éxito estimada 46/100. Pocos minutos en el filial: necesita competir para desarrollarse. Mejor destino: Albacete Balompié (score v2 cesión 36, desarrollo 100, demanda 92). Contexto clave: el Betis Deportivo ha descendido, por lo que mantener en el filial se penaliza (-18) y una cesión a categoría superior con destino competitivo recibe bonus (+10). Comparativa interna ajustada: cesión 46, mantener 12, venta 33. Casos similares: Marcos Luna, Oscar Naasei, Roger Hinojo. Revalorización esperada (modelo): €244k."
Adrian Martin,Centrocampista,19,True,52,0,CEDER,45.5,operation_success_v2,35.5,45.5,2.2,20.2,39.3,33.3,True,18.0,10.0,Sporting Gijón,Rubén Albés,€240k,Sporting Gijón (65) | CD Mirandés (62) | Racing Santander (60) | UD Almería (57) | SD Eibar (54),Rubén Albés | Míchel Alonso | Íñigo Vélez | Gaizka Garitano,"A. Martin Luis (CD Mirandés, 50) | Beñat Turrientes (Real Sociedad B, 46) | Manu Rodríguez (Sporting Gijón, 41)","Adrian Martin (Centrocampista, 19 años, 52' esta temporada). Recomendación CEDER: probabilidad de éxito estimada 46/100. Pocos minutos en el filial: necesita competir para desarrollarse. Mejor destino: Sporting Gijón (score v2 cesión 36, desarrollo 96, demanda 93). Contexto clave: el Betis Deportivo ha descendido, por lo que mantener en el filial se penaliza (-18) y una cesión a categoría superior con destino competitivo recibe bonus (+10). Comparativa interna ajustada: cesión 46, mantener 2, venta 33. Casos similares: A. Martin Luis, Beñat Turrientes, Manu Rodríguez. Revalorización esperada (modelo): €240k."
R. Gomez,Centrocampista,19,True,159,0,CEDER,45.5,operation_success_v2,35.5,45.5,0.3,18.3,39.3,33.3,True,18.0,10.0,Sporting Gijón,Rubén Albés,€185k,Sporting Gijón (65) | CD Mirandés (62) | Racing Santander (60) | UD Almería (57) | SD Eibar (54),Rubén Albés | Míchel Alonso | Íñigo Vélez | Gaizka Garitano,"A. Martin Luis (CD Mirandés, 50) | Beñat Turrientes (Real Sociedad B, 46) | Manu Rodríguez (Sporting Gijón, 41)","R. Gomez (Centrocampista, 19 años, 159' esta temporada). Recomendación CEDER: probabilidad de éxito estimada 46/100. Pocos minutos en el filial: necesita competir para desarrollarse. Mejor destino: Sporting Gijón (score v2 cesión 36, desarrollo 96, demanda 93). Contexto clave: el Betis Deportivo ha descendido, por lo que mantener en el filial se penaliza (-18) y una cesión a categoría superior con destino competitivo recibe bonus (+10). Comparativa interna ajustada: cesión 46, mantener 0, venta 33. Casos similares: A. Martin Luis, Beñat Turrientes, Manu Rodríguez. Revalorización esperada (modelo): €185k."
Marcos Solís,Lateral,20,True,129,0,CEDER,45.0,operation_success_v2,35.0,45.0,0.0,17.7,38.6,32.6,True,18.0,10.0,Albacete Balompié,Rubén Albés,€237k,Albacete Balompié (66) | Cádiz CF (60) | CD Mirandés (49) | Real Zaragoza (48) | SD Eibar (47),Rubén Albés | Pako Ayestarán | Víctor Fernández | Gaizka Garitano,"Marcos Luna (Real Zaragoza, 100) | Oscar Naasei (Granada CF, 69) | Roger Hinojo (Cultural Leonesa, 68)","Marcos Solís (Lateral, 20 años, 129' esta temporada). Recomendación CEDER: probabilidad de éxito estimada 45/100. Pocos minutos en el filial: necesita competir para desarrollarse. Mejor destino: Albacete Balompié (score v2 cesión 35, desarrollo 100, demanda 92). Contexto clave: el Betis Deportivo ha descendido, por lo que mantener en el filial se penaliza (-18) y una cesión a categoría superior con destino competitivo recibe bonus (+10). Comparativa interna ajustada: cesión 45, mantener 0, venta 33. Casos similares: Marcos Luna, Oscar Naasei, Roger Hinojo. Revalorización esperada (modelo): €237k."
Ruben De Sa Abreu,Lateral,18,True,355,0,CEDER,44.8,operation_success_v2,34.8,44.8,4.2,22.2,38.4,32.4,True,18.0,10.0,Albacete Balompié,Rubén Albés,€742k,Albacete Balompié (66) | Cádiz CF (60) | CD Mirandés (49) | Real Zaragoza (48) | SD Eibar (47),Rubén Albés | Pako Ayestarán | Víctor Fernández | Gaizka Garitano,"Juanlu Sánchez (CD Mirandés, 62) | Diego Sánchez (Sporting Gijón, 39) | Álex Valle (FC Andorra, 16)","Ruben De Sa Abreu (Lateral, 18 años, 355' esta temporada). Recomendación CEDER: probabilidad de éxito estimada 45/100. Pocos minutos en el filial: necesita competir para desarrollarse. Mejor destino: Albacete Balompié (score v2 cesión 35, desarrollo 100, demanda 92). Contexto clave: el Betis Deportivo ha descendido, por lo que mantener en el filial se penaliza (-18) y una cesión a categoría superior con destino competitivo recibe bonus (+10). Comparativa interna ajustada: cesión 45, mantener 4, venta 32. Casos similares: Juanlu Sánchez, Diego Sánchez, Álex Valle. Revalorización esperada (modelo): €742k."
