temporada,club,jugador,movimiento,club_origen,club_destino,pais_club,fecha,importe_original,importe_numerico,tipo_operacion,valor_mercado,posicion,edad,nacionalidad
2021-22,AD Alcorcón,Abdel Al Badaoui,alta,RFC Seraing,AD Alcorcón,Belgium,-,free transfer,0.0,libre,€250k,Attacking Midfield,25,Spain
2021-22,AD Alcorcón,Aitor González,alta,AD Alcorcón B,AD Alcorcón,Spain,-,-,,desconocido,-,Central Midfield,20,Spain
2021-22,AD Alcorcón,Alex Escardó,alta,Cultural Leonesa,AD Alcorcón,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€150k,Second Striker,23,Spain
2021-22,AD Alcorcón,Alfonso Martín,alta,CD Atlético Baleares,AD Alcorcón,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€200k,Central Midfield,27,Spain
2021-22,AD Alcorcón,Antonio Moyano,alta,Córdoba CF B,AD Alcorcón,Spain,-,free transfer,0.0,libre,€50k,Attacking Midfield,21,Spain
2021-22,AD Alcorcón,Armin Hodzic,alta,Estoril Praia U23,AD Alcorcón,Portugal,30/06/2021,End of loan,0.0,retorno de cesión,€100k,Central Midfield,21,Bosnia-Herzegovina
2021-22,AD Alcorcón,Asier Córdoba,alta,CA Osasuna Promesas,AD Alcorcón,Spain,-,free transfer,0.0,libre,€200k,Attacking Midfield,21,Spain
2021-22,AD Alcorcón,Borja Valle,alta,-,AD Alcorcón,United Arab Emirates,-,free transfer,0.0,libre,€300k,Centre-Forward,29,Spain
2021-22,AD Alcorcón,Carlos Hernández,alta,Real Oviedo,AD Alcorcón,Spain,-,free transfer,0.0,libre,€300k,Centre-Back,30,Spain
2021-22,AD Alcorcón,Cristian Rivero,alta,Valencia CF,AD Alcorcón,Spain,-,loan transfer,0.0,cesión,€300k,Goalkeeper,23,Spain
2021-22,AD Alcorcón,David Forniés,alta,FC Cartagena,AD Alcorcón,Spain,-,free transfer,0.0,libre,€300k,Left-Back,30,Spain
2021-22,AD Alcorcón,Emmanuel Apeh,alta,CD Tenerife,AD Alcorcón,Spain,-,loan transfer,0.0,cesión,€400k,Centre-Forward,25,Nigeria
2021-22,AD Alcorcón,Giovanni Zarfino,alta,Extremadura UD,AD Alcorcón,Spain,-,free transfer,0.0,libre,€600k,Central Midfield,30,Uruguay
2021-22,AD Alcorcón,Iván Calero,alta,Málaga CF,AD Alcorcón,Spain,-,loan transfer,0.0,cesión,€300k,Right-Back,26,Spain
2021-22,AD Alcorcón,Iván Cédric,alta,AD Alcorcón B,AD Alcorcón,Spain,-,-,,desconocido,-,Centre-Forward,19,Cameroon
2021-22,AD Alcorcón,Joel Valencia,alta,Brentford FC,AD Alcorcón,England,-,loan transfer,0.0,cesión,€400k,Attacking Midfield,27,Ecuador
2021-22,AD Alcorcón,José Aurelio Suárez,alta,Gimnàstic de Tarragona,AD Alcorcón,Spain,-,free transfer,0.0,libre,€200k,Goalkeeper,25,Spain
2021-22,AD Alcorcón,José Ángel Jurado,alta,Al-Wahda FC,AD Alcorcón,United Arab Emirates,-,free transfer,0.0,libre,€450k,Central Midfield,29,Spain
2021-22,AD Alcorcón,Juan Hernández,alta,Celta de Vigo,AD Alcorcón,Spain,-,free transfer,0.0,libre,€400k,Left Winger,26,Spain
2021-22,AD Alcorcón,Lucho Vega,alta,GD Estoril Praia,AD Alcorcón,Portugal,-,loan transfer,0.0,cesión,-,Central Midfield,22,Argentina
2021-22,AD Alcorcón,Luis Valcarce,alta,Arka Gdynia,AD Alcorcón,Poland,-,free transfer,0.0,libre,€150k,Left-Back,28,Spain
2021-22,AD Alcorcón,Nicolas Gorosito,alta,Albacete Balompié,AD Alcorcón,Spain,-,free transfer,0.0,libre,€200k,Centre-Back,32,Argentina
2021-22,AD Alcorcón,Pipo,alta,Cultural Leonesa,AD Alcorcón,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€200k,Left Winger,23,Spain
2021-22,AD Alcorcón,Raúl Asencio,alta,-,AD Alcorcón,Italy,-,free transfer,0.0,libre,€550k,Centre-Forward,23,Spain
2021-22,AD Alcorcón,Roberto Olabe,alta,SD Eibar,AD Alcorcón,Spain,-,free transfer,0.0,libre,€400k,Central Midfield,25,Spain
2021-22,AD Alcorcón,Álex Barbu,alta,AD Alcorcón B,AD Alcorcón,Spain,-,-,,desconocido,-,Centre-Back,20,Spain
2021-22,AD Alcorcón,Álex Mula,alta,CF Fuenlabrada,AD Alcorcón,Spain,-,loan transfer,0.0,cesión,€700k,Left Winger,25,Spain
2021-22,AD Alcorcón,Álvaro Juan,alta,Cultural Leonesa,AD Alcorcón,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€100k,Left Winger,21,Spain
2021-22,AD Alcorcón,Óscar Rivas,alta,AD Alcorcón B,AD Alcorcón,Spain,-,-,,desconocido,-,Centre-Back,21,Spain
2021-22,AD Alcorcón,Abdel Al Badaoui,baja,AD Alcorcón,-,Belgium,-,loan transfer,0.0,cesión,€200k,Attacking Midfield,25,Spain
2021-22,AD Alcorcón,Aitor González,baja,AD Alcorcón,CD Tudelano,Spain,-,loan transfer,0.0,cesión,-,Central Midfield,20,Spain
2021-22,AD Alcorcón,Alex Escardó,baja,AD Alcorcón,Antequera CF,Spain,-,loan transfer,0.0,cesión,€150k,Second Striker,23,Spain
2021-22,AD Alcorcón,Alfonso Martín,baja,AD Alcorcón,CD Atlético Baleares,Spain,-,free transfer,0.0,libre,€200k,Central Midfield,27,Spain
2021-22,AD Alcorcón,Armin Hodzic,baja,AD Alcorcón,FK Zeljeznicar Sarajevo,Bosnia-Herzegovina,-,free transfer,0.0,libre,€100k,Central Midfield,21,Bosnia-Herzegovina
2021-22,AD Alcorcón,Asier Córdoba,baja,AD Alcorcón,SD Logroñés,Spain,-,free transfer,0.0,libre,€200k,Attacking Midfield,21,Spain
2021-22,AD Alcorcón,Carlos Embalo,baja,AD Alcorcón,KAS Eupen,Belgium,30/06/2021,End of loan,0.0,retorno de cesión,€300k,Left Winger,26,Guinea-Bissau
2021-22,AD Alcorcón,Dani Jiménez,baja,AD Alcorcón,CD Leganés,Spain,-,-,,desconocido,€400k,Goalkeeper,31,Spain
2021-22,AD Alcorcón,Dani Ojeda,baja,AD Alcorcón,SD Ponferradina,Spain,-,free transfer,0.0,libre,€300k,Left Winger,26,Spain
2021-22,AD Alcorcón,Ernesto Gómez,baja,AD Alcorcón,Burgos CF,Spain,-,free transfer,0.0,libre,€300k,Right Winger,27,Spain
2021-22,AD Alcorcón,Fidel Escobar,baja,AD Alcorcón,Cultural Leonesa,Spain,-,loan transfer,0.0,cesión,€200k,Centre-Back,27,Panama
2021-22,AD Alcorcón,Iván Barbero,baja,AD Alcorcón,CA Osasuna,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€300k,Centre-Forward,22,Spain
2021-22,AD Alcorcón,Iván Cédric,baja,AD Alcorcón,CD Toledo,Spain,-,loan transfer,0.0,cesión,-,Centre-Forward,19,Cameroon
2021-22,AD Alcorcón,Javi Castro,baja,AD Alcorcón,Celta Vigo B,Spain,-,loan transfer,0.0,cesión,€200k,Centre-Back,20,Spain
2021-22,AD Alcorcón,José Aurelio Suárez,baja,AD Alcorcón,-,Japan,-,free transfer,0.0,libre,€200k,Goalkeeper,26,Spain
2021-22,AD Alcorcón,José León,baja,AD Alcorcón,CD Tenerife,Spain,-,free transfer,0.0,libre,€500k,Centre-Back,26,Spain
2021-22,AD Alcorcón,Juan Aguilera,baja,AD Alcorcón,Retired,-,-,-,,desconocido,€100k,Defensive Midfield,36,Spain
2021-22,AD Alcorcón,Juan Hernández,baja,AD Alcorcón,SD Ponferradina,Spain,-,free transfer,0.0,libre,€400k,Left Winger,27,Spain
2021-22,AD Alcorcón,Kelechi Nwakali,baja,AD Alcorcón,SD Huesca,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€1.00m,Central Midfield,23,Nigeria
2021-22,AD Alcorcón,Lucho Vega,baja,AD Alcorcón,GD Estoril Praia,Portugal,31/01/2022,End of loan,0.0,retorno de cesión,€100k,Central Midfield,22,Argentina
2021-22,AD Alcorcón,Marc Gual,baja,AD Alcorcón,SC Dnipro-1,Ukraine,-,free transfer,0.0,libre,€400k,Centre-Forward,25,Spain
2021-22,AD Alcorcón,Pipo,baja,AD Alcorcón,UE Cornellà,Spain,-,loan transfer,0.0,cesión,€200k,Left Winger,24,Spain
2021-22,AD Alcorcón,Raúl Asencio,baja,AD Alcorcón,US Lecce,Italy,-,free transfer,0.0,libre,€300k,Centre-Forward,23,Spain
2021-22,AD Alcorcón,Reko,baja,AD Alcorcón,Académica Coimbra,Portugal,-,free transfer,0.0,libre,€200k,Central Midfield,25,Portugal
2021-22,AD Alcorcón,Richard Boateng,baja,AD Alcorcón,FC Cartagena,Spain,-,free transfer,0.0,libre,€400k,Central Midfield,28,Ghana
2021-22,AD Alcorcón,Samu Casado,baja,AD Alcorcón,-,Spain,-,free transfer,0.0,libre,€200k,Goalkeeper,24,Spain
2021-22,AD Alcorcón,Samuel Sosa,baja,AD Alcorcón,CA Talleres,Argentina,30/06/2021,End of loan,0.0,retorno de cesión,€300k,Right Winger,21,Venezuela
2021-22,AD Alcorcón,Álex Barbu,baja,AD Alcorcón,Real Unión Club,Spain,-,loan transfer,0.0,cesión,-,Centre-Back,20,Spain
2021-22,AD Alcorcón,Álvaro Juan,baja,AD Alcorcón,Cultural Leonesa,Spain,-,loan transfer,0.0,cesión,€100k,Left Winger,21,Spain
2021-22,Burgos CF,Alfonso Herrero,alta,Marbella FC,Burgos CF,Spain,-,free transfer,0.0,libre,€250k,Goalkeeper,27,Spain
2021-22,Burgos CF,Andy Rodríguez,alta,UD Logroñés,Burgos CF,Spain,-,free transfer,0.0,libre,€300k,Central Midfield,31,Spain
2021-22,Burgos CF,Diosbert Rivero,alta,FC La Unión Atlético (-2025),Burgos CF,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€50k,Centre-Forward,21,Venezuela
2021-22,Burgos CF,Ernesto Gómez,alta,AD Alcorcón,Burgos CF,Spain,-,free transfer,0.0,libre,€300k,Right Winger,27,Spain
2021-22,Burgos CF,Filip Malbasic,alta,Without Club,Burgos CF,-,-,free transfer,0.0,libre,€900k,Right Winger,29,Serbia
2021-22,Burgos CF,Fran García,alta,Albacete Balompié,Burgos CF,Spain,-,free transfer,0.0,libre,€400k,Left-Back,28,Spain
2021-22,Burgos CF,Grego Sierra,alta,CE Sabadell FC,Burgos CF,Spain,-,free transfer,0.0,libre,€400k,Centre-Back,28,Spain
2021-22,Burgos CF,José Antonio Caro,alta,-,Burgos CF,Spain,-,loan transfer,0.0,cesión,€500k,Goalkeeper,27,Spain
2021-22,Burgos CF,José Matos,alta,Cádiz CF,Burgos CF,Spain,-,free transfer,0.0,libre,€700k,Left-Back,26,Spain
2021-22,Burgos CF,Marcelo dos Santos,alta,UD San Sebastián de los Reyes,Burgos CF,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€200k,Centre-Forward,23,Brazil
2021-22,Burgos CF,Miguel Rubio,alta,Getafe CF,Burgos CF,Spain,-,loan transfer,0.0,cesión,€150k,Centre-Back,23,Spain
2021-22,Burgos CF,Pablo Valcarce,alta,RCD Mallorca,Burgos CF,Spain,-,free transfer,0.0,libre,€600k,Right Winger,28,Spain
2021-22,Burgos CF,Riki Rodríguez,alta,Real Oviedo Vetusta,Burgos CF,Spain,-,loan transfer,0.0,cesión,€300k,Central Midfield,23,Spain
2021-22,Burgos CF,Álex Alegría,alta,RCD Mallorca,Burgos CF,Spain,-,loan transfer,0.0,cesión,€500k,Centre-Forward,28,Spain
2021-22,Burgos CF,Diosbert Rivero,baja,Burgos CF,CD Calamonte,Spain,-,free transfer,0.0,libre,€100k,Centre-Forward,21,Venezuela
2021-22,Burgos CF,Galder Cerrajería,baja,Burgos CF,Cultural Leonesa,Spain,-,free transfer,0.0,libre,€200k,Central Midfield,32,Spain
2021-22,Burgos CF,Javi Gómez,baja,Burgos CF,Celta Vigo B,Spain,-,free transfer,0.0,libre,€250k,Left Winger,22,Spain
2021-22,Burgos CF,Leonardo Pisculichi,baja,Burgos CF,Retired,-,-,-,,desconocido,-,Attacking Midfield,37,Argentina
2021-22,Burgos CF,Marcelo Barovero,baja,Burgos CF,Atlético de San Luis,Mexico,-,free transfer,0.0,libre,€100k,Goalkeeper,37,Argentina
2021-22,Burgos CF,Marcelo dos Santos,baja,Burgos CF,Gil Vicente FC,Portugal,-,-,,desconocido,€200k,Centre-Forward,24,Brazil
2021-22,Burgos CF,Matías Rosales,baja,Burgos CF,Without Club,-,-,-,,desconocido,€100k,Central Midfield,22,Argentina
2021-22,Burgos CF,Riki Rodríguez,baja,Burgos CF,Real Oviedo Vetusta,Spain,31/01/2022,End of loan,0.0,retorno de cesión,€300k,Central Midfield,24,Spain
2021-22,Burgos CF,Rubén Lobato,baja,Burgos CF,Without Club,-,-,-,,desconocido,€250k,Left-Back,27,Spain
2021-22,Burgos CF,Ryan Leak,baja,Burgos CF,-,England,-,free transfer,0.0,libre,€250k,Centre-Back,23,Wales
2021-22,Burgos CF,Óscar López,baja,Burgos CF,Burgos CF Promesas,Spain,-,-,,desconocido,€100k,Goalkeeper,22,Spain
2021-22,CD Leganés,Agus Alonso,alta,UD Melilla,CD Leganés,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€300k,Centre-Forward,26,Uruguay
2021-22,CD Leganés,Allan Nyom,alta,Getafe CF,CD Leganés,Spain,-,free transfer,0.0,libre,€1.50m,Right-Back,33,Cameroon
2021-22,CD Leganés,Borja Garcés,alta,-,CD Leganés,Spain,-,loan transfer,0.0,cesión,€2.70m,Centre-Forward,22,Spain
2021-22,CD Leganés,Bruno González,alta,-,CD Leganés,Spain,-,free transfer,0.0,libre,€1.00m,Centre-Back,31,Spain
2021-22,CD Leganés,Cheick Doukouré,alta,Levante UD,CD Leganés,Spain,-,free transfer,0.0,libre,€600k,Defensive Midfield,28,Cote d'Ivoire
2021-22,CD Leganés,Dani Jiménez,alta,AD Alcorcón,CD Leganés,Spain,-,-,,desconocido,€400k,Goalkeeper,31,Spain
2021-22,CD Leganés,Facundo García,alta,Valencia Mestalla,CD Leganés,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€300k,Defensive Midfield,21,Argentina
2021-22,CD Leganés,Fede Vico,alta,Granada CF,CD Leganés,Spain,-,free transfer,0.0,libre,€1.20m,Attacking Midfield,27,Spain
2021-22,CD Leganés,Iván Villar,alta,Celta de Vigo,CD Leganés,Spain,-,loan transfer,0.0,cesión,€2.50m,Goalkeeper,24,Spain
2021-22,CD Leganés,Jimmy Giraudon,alta,ESTAC Troyes,CD Leganés,France,-,loan transfer,0.0,cesión,€1.50m,Centre-Back,30,France
2021-22,CD Leganés,Jon Bautista,alta,Real Sociedad,CD Leganés,Spain,-,loan transfer,0.0,cesión,€1.20m,Centre-Forward,26,Spain
2021-22,CD Leganés,Josua Mejías,alta,Málaga CF,CD Leganés,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€500k,Centre-Back,23,Venezuela
2021-22,CD Leganés,Lazar Randjelovic,alta,-,CD Leganés,Greece,-,loan transfer,0.0,cesión,€2.00m,Right Winger,24,Serbia
2021-22,CD Leganés,Manu Garrido,alta,Hércules CF,CD Leganés,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€150k,Centre-Forward,20,Spain
2021-22,CD Leganés,Naim García,alta,CD Leganés U19,CD Leganés,Spain,-,-,,desconocido,-,Right Winger,19,Spain
2021-22,CD Leganés,Recio,alta,SD Eibar,CD Leganés,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€1.20m,Central Midfield,30,Spain
2021-22,CD Leganés,Rober Ibáñez,alta,CA Osasuna,CD Leganés,Spain,-,loan transfer,0.0,cesión,€500k,Right Winger,28,Spain
2021-22,CD Leganés,Rubén Pardo,alta,FC Girondins Bordeaux,CD Leganés,France,-,free transfer,0.0,libre,€2.40m,Central Midfield,28,Spain
2021-22,CD Leganés,Vasyl Kravets,alta,Lech Poznan,CD Leganés,Poland,30/06/2021,End of loan,0.0,retorno de cesión,€800k,Left-Back,23,Ukraine
2021-22,CD Leganés,William de Camargo,alta,Valencia Mestalla,CD Leganés,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€400k,Right Winger,22,Brazil
2021-22,CD Leganés,Xavi Quintillà,alta,Villarreal CF,CD Leganés,Spain,-,loan transfer,0.0,cesión,€2.80m,Left-Back,24,Spain
2021-22,CD Leganés,Yacine Qasmi,alta,Rayo Vallecano,CD Leganés,Spain,-,free transfer,0.0,libre,€600k,Centre-Forward,31,Morocco
2021-22,CD Leganés,Yoel Bárcenas,alta,Club Tijuana,CD Leganés,Mexico,-,loan transfer,0.0,cesión,€1.00m,Right Winger,27,Panama
2021-22,CD Leganés,Agus Alonso,baja,CD Leganés,CD Numancia,Spain,-,free transfer,0.0,libre,€300k,Centre-Forward,26,Uruguay
2021-22,CD Leganés,Borja Bastón,baja,CD Leganés,Real Oviedo,Spain,-,free transfer,0.0,libre,€2.00m,Centre-Forward,28,Spain
2021-22,CD Leganés,Brandon Thomas,baja,CD Leganés,CA Osasuna,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€600k,Left Winger,26,Spain
2021-22,CD Leganés,Cheick Doukouré,baja,CD Leganés,Aris Thessaloniki,Greece,-,free transfer,0.0,libre,€600k,Defensive Midfield,29,Cote d'Ivoire
2021-22,CD Leganés,Daniel Lasure,baja,CD Leganés,Real Zaragoza,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€400k,Left-Back,27,Spain
2021-22,CD Leganés,Diego Conde,baja,CD Leganés,-,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€300k,Goalkeeper,22,Spain
2021-22,CD Leganés,Facundo García,baja,CD Leganés,CE Sabadell FC,Spain,-,loan transfer,0.0,cesión,€300k,Defensive Midfield,21,Argentina
2021-22,CD Leganés,Ignasi Miquel,baja,CD Leganés,Getafe CF,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€1.00m,Centre-Back,28,Spain
2021-22,CD Leganés,Iván Cuéllar,baja,CD Leganés,Sporting Gijón,Spain,-,free transfer,0.0,libre,€100k,Goalkeeper,37,Spain
2021-22,CD Leganés,Javi Avilés,baja,CD Leganés,CD Tondela,Portugal,-,loan transfer,0.0,cesión,€300k,Right Winger,24,Spain
2021-22,CD Leganés,Jonathan Silva,baja,CD Leganés,Getafe CF,Spain,-,€2.50m,2500000.0,traspaso,€1.50m,Left-Back,27,Argentina
2021-22,CD Leganés,Josua Mejías,baja,CD Leganés,Beitar Jerusalem,Israel,-,loan transfer,0.0,cesión,€500k,Centre-Back,23,Venezuela
2021-22,CD Leganés,Kevin Bua,baja,CD Leganés,-,Switzerland,-,free transfer,0.0,libre,€600k,Left Winger,27,Switzerland
2021-22,CD Leganés,Manu Garrido,baja,CD Leganés,UCAM Murcia CF,Spain,-,loan transfer,0.0,cesión,€150k,Centre-Forward,20,Spain
2021-22,CD Leganés,Miguel de la Fuente,baja,CD Leganés,-,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€500k,Centre-Forward,21,Spain
2021-22,CD Leganés,Rober Ibáñez,baja,CD Leganés,CA Osasuna,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€500k,Right Winger,28,Spain
2021-22,CD Leganés,Roberto Rosales,baja,CD Leganés,AEK Larnaca,Cyprus,-,free transfer,0.0,libre,€500k,Right-Back,32,Venezuela
2021-22,CD Leganés,Rodri Tarín,baja,CD Leganés,Real Oviedo,Spain,-,free transfer,0.0,libre,€1.50m,Centre-Back,25,Spain
2021-22,CD Leganés,Rubén Pardo,baja,CD Leganés,FC Girondins Bordeaux,France,30/06/2021,End of loan,0.0,retorno de cesión,€2.40m,Central Midfield,28,Spain
2021-22,CD Leganés,Rubén Pérez,baja,CD Leganés,Panathinaikos,Greece,-,free transfer,0.0,libre,€2.00m,Defensive Midfield,32,Spain
2021-22,CD Leganés,Sabin Merino,baja,CD Leganés,Real Zaragoza,Spain,-,free transfer,0.0,libre,€1.20m,Centre-Forward,30,Spain
2021-22,CD Leganés,Vasyl Kravets,baja,CD Leganés,Sporting Gijón,Spain,-,loan transfer,0.0,cesión,€800k,Left-Back,23,Ukraine
2021-22,CD Leganés,William de Camargo,baja,CD Leganés,Deportivo de La Coruña,Spain,-,loan transfer,0.0,cesión,€400k,Right Winger,22,Brazil
2021-22,CD Lugo,Alberto Rodríguez,alta,UD Tamaraceite,CD Lugo,Spain,-,free transfer,0.0,libre,€50k,Centre-Back,28,Spain
2021-22,CD Lugo,Alex Rey,alta,Unionistas CF,CD Lugo,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€150k,Central Midfield,23,Spain
2021-22,CD Lugo,Chris Ramos,alta,-,CD Lugo,Spain,-,free transfer,0.0,libre,€200k,Centre-Forward,24,Spain
2021-22,CD Lugo,David Mayoral,alta,Cádiz CF,CD Lugo,Spain,-,loan transfer,0.0,cesión,€400k,Right Winger,24,Spain
2021-22,CD Lugo,Jaume Cuéllar,alta,SPAL Primavera,CD Lugo,Italy,-,free transfer,0.0,libre,€500k,Right Winger,19,Bolivia
2021-22,CD Lugo,Joselu Moreno,alta,CD Tenerife,CD Lugo,Spain,-,loan transfer,0.0,cesión,€200k,Centre-Forward,30,Spain
2021-22,CD Lugo,Josep Señé,alta,RCD Mallorca,CD Lugo,Spain,-,free transfer,0.0,libre,€400k,Attacking Midfield,29,Spain
2021-22,CD Lugo,Juan Antonio Ros,alta,Villarreal CF B,CD Lugo,Spain,-,free transfer,0.0,libre,€200k,Centre-Back,25,Spain
2021-22,CD Lugo,Orest Lebedenko,alta,Olimpik Donetsk,CD Lugo,Ukraine,30/06/2021,End of loan,0.0,retorno de cesión,€500k,Left-Back,22,Ukraine
2021-22,CD Lugo,Pablo Clavería,alta,FC Cartagena,CD Lugo,Spain,-,free transfer,0.0,libre,€500k,Central Midfield,25,Spain
2021-22,CD Lugo,Pol García,alta,Without Club,CD Lugo,-,-,-,,desconocido,€800k,Centre-Back,27,Spain
2021-22,CD Lugo,Ricard Sánchez,alta,Granada CF,CD Lugo,Spain,-,loan transfer,0.0,cesión,€1.50m,Right-Back,21,Spain
2021-22,CD Lugo,Sebas Moyano,alta,CD Ebro,CD Lugo,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€200k,Left Winger,24,Spain
2021-22,CD Lugo,Álex Pérez,alta,UD Logroñés,CD Lugo,Spain,-,free transfer,0.0,libre,€400k,Centre-Back,30,Spain
2021-22,CD Lugo,Óscar Whalley,alta,CD Castellón,CD Lugo,Spain,-,free transfer,0.0,libre,€400k,Goalkeeper,27,Spain
2021-22,CD Lugo,Alberto Varo,baja,CD Lugo,Without Club,-,-,-,,desconocido,€200k,Goalkeeper,28,Spain
2021-22,CD Lugo,Alex Rey,baja,CD Lugo,SD Tarazona,Spain,-,free transfer,0.0,libre,€150k,Central Midfield,23,Spain
2021-22,CD Lugo,Ander Cantero,baja,CD Lugo,SD Eibar,Spain,-,€500k,500000.0,traspaso,€500k,Goalkeeper,26,Spain
2021-22,CD Lugo,Arvin Appiah,baja,CD Lugo,UD Almería,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€600k,Left-Back,20,England
2021-22,CD Lugo,Bakary N'Diaye,baja,CD Lugo,-,Greece,-,free transfer,0.0,libre,€325k,Centre-Back,22,Mauritania
2021-22,CD Lugo,Borja Domínguez,baja,CD Lugo,Racing Santander,Spain,-,free transfer,0.0,libre,€200k,Central Midfield,29,Spain
2021-22,CD Lugo,Chris Ramos,baja,CD Lugo,-,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€200k,Centre-Forward,24,Spain
2021-22,CD Lugo,Cristian Herrera,baja,CD Lugo,UD Ibiza,Spain,-,free transfer,0.0,libre,€500k,Centre-Forward,30,Spain
2021-22,CD Lugo,Frederico Venâncio,baja,CD Lugo,Vitória Guimarães SC,Portugal,30/06/2021,End of loan,0.0,retorno de cesión,€800k,Centre-Back,28,Portugal
2021-22,CD Lugo,Gerard Valentín,baja,CD Lugo,SD Huesca,Spain,-,€300k,300000.0,traspaso,€600k,Right Winger,28,Spain
2021-22,CD Lugo,Hugo Rama,baja,CD Lugo,Real Oviedo,Spain,-,free transfer,0.0,libre,€400k,Attacking Midfield,25,Spain
2021-22,CD Lugo,José Luis Rodríguez,baja,CD Lugo,Deportivo Alavés,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€500k,Left Winger,23,Panama
2021-22,CD Lugo,Luis Ruiz,baja,CD Lugo,Without Club,-,-,-,,desconocido,€300k,Left-Back,29,Spain
2021-22,CD Lugo,Marcelo Djaló,baja,CD Lugo,Boavista FC,Portugal,-,free transfer,0.0,libre,€500k,Centre-Back,27,Guinea-Bissau
2021-22,CD Lugo,Moctar El Hacen,baja,CD Lugo,-,Spain,30/06/2021,End of loan,0.0,retorno de cesión,€200k,Defensive Midfield,23,Mauritania
2021-22,CD Lugo,Pedro López,baja,CD Lugo,SD Sarriana,Spain,-,free transfer,0.0,libre,€200k,Centre-Back,24,Spain
2021-22,CD Mirandés,Alejandro Marqués,alta,Juventus U23,CD Mirandés,Italy,-,Loan fee: €30k,30000.0,cesión,€500k,Centre-Forward,21,Venezuela
2021-22,CD Mirandés,Anderson Arroyo,alta,-,CD Mirandés,England,-,loan transfer,0.0,cesión,€150k,Right-Back,21,Colombia
2021-22,CD Mirandés,César Gelabert,alta,Real Madrid Castilla,CD Mirandés,Spain,-,free transfer,0.0,libre,€700k,Attacking Midfield,20,Spain
2021-22,CD Mirandés,Haissem Hassan,alta,Villarreal CF B,CD Mirandés,Spain,-,loan transfer,0.0,cesión,€2.00m,Right Winger,19,Egypt
2021-22,CD Mirandés,Iago López,alta,Girona FC,CD Mirandés,Spain,-,free transfer,0.0,libre,€700k,Right-Back,22,Spain
2021-22,CD Mirandés,Imanol García de Albéniz,alta,Athletic Bilbao,CD Mirandés,Spain,-,loan transfer,0.0,cesión,€150k,Left-Back,21,Spain
2021-22,CD Mirandés,Iñigo Vicente,alta,Athletic Bilbao,CD Mirandés,Spain,-,loan transfer,0.0,cesión,€1.00m,Left Winger,23,Spain
2021-22,CD Mirandés,Jon Ander Garrido,alta,Cádiz CF,CD Mirandés,Spain,-,loan transfer,0.0,cesión,€400k,Defensive Midfield,32,Spain
2021-22,CD Mirandés,Jorge Aguirre,alta,Real Sociedad B,CD Mirandés,Spain,-,loan transfer,0.0,cesión,€500k,Centre-Forward,22,Cuba
2021-22,CD Mirandés,Jorge Sáenz,alta,Valencia CF,CD Mirandés,Spain,-,loan transfer,0.0,cesión,€700k,Centre-Back,25,Spain
2021-22,CD Mirandés,Martín Calderón,alta,Cádiz CF,CD Mirandés,Spain,-,loan transfer,0.0,cesión,€500k,Central Midfield,22,Spain
2021-22,CD Mirandés,Niko Datkovic,alta,-,CD Mirandés,Austria,-,free transfer,0.0,libre,€500k,Centre-Back,28,Croatia
2021-22,CD Mirandés,Odei Onaindia,alta,Hyderabad FC,CD Mirandés,India,-,free transfer,0.0,libre,€275k,Centre-Back,31,Spain
2021-22,CD Mirandés,Oriol Rey,alta,-,CD Mirandés,Spain,-,free transfer,0.0,libre,€300k,Defensive Midfield,23,Spain
2021-22,CD Mirandés,Ramón Juan,alta,UE Cornellà,CD Mirandés,Spain,-,free transfer,0.0,libre,€300k,Goalkeeper,21,Spain
2021-22,CD Mirandés,Riccardo Capellini,alta,Juventus U23,CD Mirandés,Italy,-,loan transfer,0.0,cesión,€250k,Centre-Back,21,Italy
2021-22,CD Mirandés,Rodrigo Riquelme,alta,-,CD Mirandés,Spain,-,loan transfer,0.0,cesión,€1.80m,Left Winger,21,Spain
